name;SMILES;logIE;pH.aq.;polarity_index;viscosity;surface_tension;NH4;data_type
EtFOSAA;CCN(CC(O)=O)[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;1.8539196431204368;7;7.3799125;0.8076329896197229;30.162639253722514;1;PFAS
EtFOSA;CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;2.4752875616477406;7;6.190805;0.584988086368162;32.170904210632315;1;PFAS
MeFOSAA;CN(CC(O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;1.8419794942279926;7;7.490582499999999;0.8226111658689552;30.06313044298964;1;PFAS
PFTriDA;FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;2.288553347180357;7;6.961924999999999;0.7422394519639575;30.8923964895792;1;PFAS
PFNA;FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;1.9700574587740798;7;7.7821324999999995;0.8573876839849062;30.11280001975172;1;PFAS
MeFOSA;FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)F)C(F)(F)S(=O)(NC)=O;2.495578156617992;7;6.347885;0.6208718580234058;32.04592049825365;1;PFAS
FOSA;N[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;2.38528676103725;7;6.759029999999999;0.7054670733268291;31.3295939095633;1;PFAS
PFHxDA;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;2.144715384249525;7;6.444275000000001;0.6419159520467952;31.918611305484262;1;PFAS
PFTeDA;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;2.1739141524182966;7;6.781342499999999;0.7096718319800159;31.281970462011387;1;PFAS
PFDoDA;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;2.297343776339925;7;7.153812499999999;0.7739922321690367;30.506729317115074;1;PFAS
PFUnDA;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;2.162792749641203;7;7.3546249999999995;0.804073287158524;30.192623531929325;1;PFAS
PFDA;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;2.0909144506906427;7;7.5607925;0.8316063945832308;30.030146046647133;1;PFAS
PFOA;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;1.8649331364886446;7;8.02281;0.8809816100328041;30.60057368256693;1;PFAS
PFHpA;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;1.7168052625457468;7;8.298295;0.9023103526349587;31.80289935865183;1;PFAS
PFHxA;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;1.4954772943781545;7;8.641609999999998;0.9204084599042838;34.49881195014913;1;PFAS
PFPeA;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;1.6848430730967574;7;9.154053750000001;0.9299132402319463;41.634337166566596;1;PFAS
NaDONA;OC(=O)C(F)(F)C(F)OC(F)(F)C(F)(F)C(F)(F)OC(F)(F)F;2.3187244102498976;7;8.19669875;0.8951498815607767;31.270039329509736;1;PFAS
7:3 FTA;OC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;1.7420008172464714;7;7.51825;0.8262028915795626;30.04712850953825;1;PFAS
5:3 FTA;OC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;1.4706184299446023;7;8.202648749999998;0.8955919578607341;31.298232818442273;1;PFAS
3:3 FTA;OC(=O)CCC(F)(F)C(F)(F)C(F)(F)F;0.539512154060179;7;9.31158;0.9286212286155475;44.714500462000515;1;PFAS
FOSAA;OC(=O)CN[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;2.1998574577245016;7;7.602145;0.8367202335090242;30.02299121575355;1;PFAS
PFBS;OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;2.3995267778707983;7;8.71182;0.9229504111601533;35.239594082511125;1;PFAS
8:2 diPAP;O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;1.5900899659803358;7;6.36412;0.6244682793716121;32.02688290026052;1;PFAS
6:2/8:2 diPAP;O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;1.9089942861034506;7;6.649549999999999;0.6842596331169313;31.555825035687164;1;PFAS
6:2 diPAP;O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;1.9957504403194484;7;6.96133;0.7421364210183783;30.89366427052863;1;PFAS
PFDS;O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;2.7134769594895505;7;7.106212499999999;0.7663897949053963;30.59680332055587;1;PFAS
PFOS;O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;2.59;7;7.5233075;0.8268528354210395;30.04461780401952;1;PFAS
PFHxS;O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;2.5170773091178202;7;8.0121;0.8800300329585761;30.56862190704348;1;PFAS
11Cl-PF3OUdS;O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl;2.749792707907208;7;6.970849999999999;0.743781523718057;30.87341308679025;1;PFAS
9Cl-PF3ONS;O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl;2.6283992605671673;7;7.3745575;0.8068834320146713;30.168779835333364;1;PFAS
8:2 FTS;O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;1.7255814374342524;7;7.64677;0.8420855753252221;30.026249105037824;1;PFAS
6:2 FTS;O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;1.672134446018982;7;8.120687499999999;0.8892536131132287;30.94143081191424;1;PFAS
4:2 FTS;O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F;1.643332139154726;7;8.753767499999999;0.9242812741385157;35.71564201870292;1;PFAS
benzoic acid;OC(=O)c1ccccc1;0.11;10.5;9.32;0.93;42.11062016;1;non-PFAS
3,5-dinitrobenzoic acid;OC(=O)c1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O;1.26;10.5;9.32;0.93;42.11062016;1;non-PFAS
3-trifluoromethylbenzoic acid;OC(=O)c1cccc(c1)C(F)(F)F;1.37;10.5;9.32;0.93;42.11062016;1;non-PFAS
pentafluorophenol;Oc1c(F)c(F)c(F)c(F)c1F;1.55;10.5;9.32;0.93;42.11062016;1;non-PFAS
4-tert-butylbenzoic acid;CC(C)(C)c1ccc(cc1)C(O)=O;1.36;10.5;9.32;0.93;42.11062016;1;non-PFAS
4-(pentafluorophenyl)-2,3,5,6-tetrafluorophenol;Oc1c(F)c(F)c(c(F)c1F)c2c(F)c(F)c(F)c(F)c2F;2.69;10.5;9.32;0.93;42.11062016;1;non-PFAS
