Compound,Filename,conc_pg_uL,quant_type,,,,,,
11Cl-PF3OUdS,QCN-AL,3.294663028,model,,,,,,
11Cl-PF3OUdS,QCN-BL,4.249154892,model,,,,,,
11Cl-PF3OUdS,QCN-CL,3.645973883,model,,,,,,
11Cl-PF3OUdS,QCN-AL,4.47426,target,,,,,,
11Cl-PF3OUdS,QCN-BL,4.6431,target,,,,,,
11Cl-PF3OUdS,QCN-CL,4.8843,target,,,,,,
3:3 FTCA,QCN-AL,0.255322151,model,,,,,,
3:3 FTCA,QCN-BL,0.337569764,model,,,,,,
3:3 FTCA,QCN-CL,0.267988172,model,,,,,,
3:3 FTCA,QCN-AL,1.91754,target,,,,,,
3:3 FTCA,QCN-BL,2.23914,target,,,,,, 
3:3 FTCA,QCN-CL,2.17884,target,,,,,,
4:2 FTSA,QCN-AL,2.435170601,model,,,,,,
4:2 FTSA,QCN-BL,3.306972063,model,,,,,,
4:2 FTSA,QCN-CL,3.1944682,model,,,,,,
4:2 FTSA,QCN-AL,1.703028,target,,,,,,
4:2 FTSA,QCN-BL,2.054252,target,,,,,,
4:2 FTSA,QCN-CL,2.5525,target,,,,,,
5:3 FTCA,QCN-AL,5.157318112,model,,,,,,
5:3 FTCA,QCN-BL,7.217674113,model,,,,,,
5:3 FTCA,QCN-CL,6.286659413,model,,,,,,
5:3 FTCA,QCN-AL,2.3517,target,,,,,,
5:3 FTCA,QCN-BL,2.8944,target,,,,,,
5:3 FTCA,QCN-CL,3.12354,target,,,,,,
6:2 8:2 diPAP,QCN-AL,3.843968,target,,,,,,
6:2 8:2 diPAP,QCN-BL,4.365184,target,,,,,,
6:2 8:2 diPAP,QCN-CL,4.43848,target,,,,,,
6:2 diPAP,QCN-AL,2.321687579,model,,,,,,
6:2 diPAP,QCN-BL,3.234167756,model,,,,,,
6:2 diPAP,QCN-CL,2.570780032,model,,,,,,
6:2 diPAP,QCN-AL,4.658368,target,,,,,,
6:2 diPAP,QCN-BL,5.134792,target,,,,,,
6:2 diPAP,QCN-CL,5.25288,target,,,,,,
6:2 FTSA,QCN-AL,3.427766319,model,,,,,,
6:2 FTSA,QCN-BL,4.435365789,model,,,,,,
6:2 FTSA,QCN-CL,3.58197493,model,,,,,,
6:2 FTSA,QCN-AL,4.987925333,target,,,,,,
6:2 FTSA,QCN-BL,5.830436367,target,,,,,,
6:2 FTSA,QCN-CL,5.836934435,target,,,,,,
6:2 8:2 diPAP,QCN-AL,9.448939479,model,,,,,,
6:2 8:2 diPAP,QCN-BL,13.59034143,model,,,,,,
6:2 8:2 diPAP,QCN-CL,10.73416438,model,,,,,,
7:3 FTCA,QCN-AL,1.589226283,model,,,,,,
7:3 FTCA,QCN-BL,2.212321336,model,,,,,,
7:3 FTCA,QCN-CL,1.776978827,model,,,,,,
7:3 FTCA,QCN-AL,2.86224,target,,,,,,
7:3 FTCA,QCN-BL,3.52554,target,,,,,,
7:3 FTCA,QCN-CL,3.49338,target,,,,,,
8:2 diPAP,QCN-AL,2.026981785,model,,,,,,
8:2 diPAP,QCN-BL,2.850142635,model,,,,,,
8:2 diPAP,QCN-CL,1.906393306,model,,,,,,
8:2 diPAP,QCN-AL,4.54028,target,,,,,,
8:2 diPAP,QCN-BL,5.269168,target,,,,,,
8:2 diPAP,QCN-CL,4.878256,target,,,,,,
8:2 FTSA,QCN-AL,3.781184747,model,,,,,,
8:2 FTSA,QCN-BL,5.014277021,model,,,,,,
8:2 FTSA,QCN-CL,4.105349738,model,,,,,,
8:2 FTSA,QCN-AL,2.515744,target,,,,,,
8:2 FTSA,QCN-BL,2.956816,target,,,,,,
8:2 FTSA,QCN-CL,3.099756,target,,,,,,
9Cl-PF3ONS,QCN-AL,2.618457149,model,,,,,,
9Cl-PF3ONS,QCN-BL,3.634221109,model,,,,,,
9Cl-PF3ONS,QCN-CL,2.957861627,model,,,,,,
9Cl-PF3ONS,QCN-AL,4.33356,target,,,,,,
9Cl-PF3ONS,QCN-BL,4.8441,target,,,,,,
9Cl-PF3ONS,QCN-CL,4.82802,target,,,,,,
ADONA,QCN-AL,4.58682,target,,,,,,
ADONA,QCN-BL,4.9647,target,,,,,,
ADONA,QCN-CL,5.13354,target,,,,,,
EtFOSA,QCN-AL,5.443176054,model,,,,,,
EtFOSA,QCN-BL,6.175090522,model,,,,,,
EtFOSA,QCN-CL,6.013557536,model,,,,,,
EtFOSA,QCN-AL,7.948544,target,,,,,,
EtFOSA,QCN-BL,9.210864,target,,,,,,
EtFOSA,QCN-CL,9.601776,target,,,,,,
EtFOSAA,QCN-AL,1.284557852,model,,,,,,
EtFOSAA,QCN-BL,1.732246048,model,,,,,,
EtFOSAA,QCN-CL,1.502354815,model,,,,,,
EtFOSAA,QCN-AL,4.14932,target,,,,,,
EtFOSAA,QCN-BL,4.51472,target,,,,,,
EtFOSAA,QCN-CL,4.8314,target,,,,,,
FOSA,QCN-AL,2.668812426,model,,,,,,
FOSA,QCN-BL,3.644923237,model,,,,,,
FOSA,QCN-CL,2.548550566,model,,,,,,
FOSA,QCN-AL,10.293392,target,,,,,,
FOSA,QCN-BL,11.38792,target,,,,,,
FOSA,QCN-CL,10.01976,target,,,,,,
FOSAA,QCN-AL,8.511696407,model,,,,,,
FOSAA,QCN-BL,11.23092877,model,,,,,,
FOSAA,QCN-CL,9.535700839,model,,,,,,
FOSAA,QCN-AL,7.33236,target,,,,,,
FOSAA,QCN-BL,8.37984,target,,,,,,
FOSAA,QCN-CL,8.31488,target,,,,,,
MeFOSA,QCN-AL,7.851554554,model,,,,,,
MeFOSA,QCN-BL,10.25402734,model,,,,,,
MeFOSA,QCN-CL,8.740347524,model,,,,,,
MeFOSA,QCN-AL,6.77688,target,,,,,,
MeFOSA,QCN-BL,7.87032,target,,,,,,
MeFOSA,QCN-CL,8.70264,target,,,,,,
MeFOSAA,QCN-AL,0.974268844,model,,,,,,
MeFOSAA,QCN-BL,1.301079529,model,,,,,,
MeFOSAA,QCN-CL,1.119550496,model,,,,,,
MeFOSAA,QCN-AL,4.53502,target,,,,,,
MeFOSAA,QCN-BL,5.24552,target,,,,,,
MeFOSAA,QCN-CL,5.27394,target,,,,,,
ADONA,QCN-AL,4.831194758,model,,,,,,
ADONA,QCN-BL,6.426940075,model,,,,,,
ADONA,QCN-CL,5.547371877,model,,,,,,
PFBS,QCN-AL,5.13310002,model,,,,,,
PFBS,QCN-BL,6.757748029,model,,,,,,
PFBS,QCN-CL,5.684618043,model,,,,,,
PFBS,QCN-AL,5.08128,target,,,,,,
PFBS,QCN-BL,5.28228,target,,,,,,
PFBS,QCN-CL,5.43102,target,,,,,,
PFDA,QCN-AL,4.357709871,model,,,,,,
PFDA,QCN-BL,5.984283587,model,,,,,,
PFDA,QCN-CL,4.351928132,model,,,,,,
PFDA,QCN-AL,11.14746,target,,,,,,
PFDA,QCN-BL,12.9243,target,,,,,,
PFDA,QCN-CL,11.19168,target,,,,,,
PFDoDA,QCN-AL,5.893279046,model,,,,,,
PFDoDA,QCN-BL,7.652606043,model,,,,,,
PFDoDA,QCN-CL,5.676860038,model,,,,,,
PFDoDA,QCN-AL,9.53544,target,,,,,,
PFDoDA,QCN-BL,10.88214,target,,,,,,
PFDoDA,QCN-CL,9.65202,target,,,,,,
PFDS,QCN-AL,3.718746512,model,,,,,,
PFDS,QCN-BL,4.89463386,model,,,,,,
PFDS,QCN-CL,3.945660946,model,,,,,,
PFDS,QCN-AL,4.75968,target,,,,,,
PFDS,QCN-BL,5.03706,target,,,,,,
PFDS,QCN-CL,4.97676,target,,,,,,
PFHpA,QCN-AL,2.599606434,model,,,,,,
PFHpA,QCN-BL,3.424370138,model,,,,,,
PFHpA,QCN-CL,2.874148035,model,,,,,,
PFHpA,QCN-AL,4.4019,target,,,,,,
PFHpA,QCN-BL,4.93656,target,,,,,,
PFHpA,QCN-CL,4.96068,target,,,,,,
PFHxA,QCN-AL,1.89668676,model,,,,,,
PFHxA,QCN-BL,2.620725974,model,,,,,,
PFHxA,QCN-CL,2.186399528,model,,,,,,
PFHxA,QCN-AL,4.30542,target,,,,,,
PFHxA,QCN-BL,5.04108,target,,,,,,
PFHxA,QCN-CL,5.2461,target,,,,,,
PFHxDA,QCN-AL,4.446518757,model,,,,,,
PFHxDA,QCN-BL,6.066871124,model,,,,,,
PFHxDA,QCN-CL,4.927286596,model,,,,,,
PFHxDA,QCN-AL,8.62692,target,,,,,,
PFHxDA,QCN-BL,10.28718,target,,,,,,
PFHxDA,QCN-CL,10.04196,target,,,,,,
PFHxS,QCN-AL,3.258907359,model,,,,,,
PFHxS,QCN-BL,4.291870206,model,,,,,,
PFHxS,QCN-CL,3.622291822,model,,,,,,
PFHxS,QCN-AL,6.96264,target,,,,,,
PFHxS,QCN-BL,7.32444,target,,,,,,
PFHxS,QCN-CL,7.48926,target,,,,,,
PFNA,QCN-AL,4.194227948,model,,,,,,
PFNA,QCN-BL,5.677233978,model,,,,,,
PFNA,QCN-CL,4.208071259,model,,,,,,
PFNA,QCN-AL,8.99676,target,,,,,,
PFNA,QCN-BL,10.29924,target,,,,,,
PFNA,QCN-CL,9.04902,target,,,,,,
PFOA,QCN-AL,1.923949689,model,,,,,,
PFOA,QCN-BL,2.588431912,model,,,,,,
