Compound,Filename,Area,RT,Theoretical_amt,SMILES,IC,Molecular_weight,area_IC,Theoretical_conc_uM,logIE_predicted_LOO,logIE_predicted,logIE,model_nr,slope,name,slope_pred,conc_pred_uM,conc_pred_pg_uL
EtFOSAA,2020071203-solvent_201208164403,4457,5.34,NA,CCN(CC(O)=O)[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,121.1442078,585.234,539939.7344,NA,0.938588142,0.938588142,0.895112343,model_1,66382438705,EtFOSAA,67577016204,7.99E-06,0.004676014
EtFOSAA,2020071204-cal11,37186,5.36,0.012,CCN(CC(O)=O)[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,121.1442078,585.234,4504868.513,2.05E-05,0.938588142,0.938588142,0.895112343,model_1,66382438705,EtFOSAA,67577016204,6.67E-05,0.039013297
EtFOSAA,2020071204-cal12,45279,5.36,0.012,CCN(CC(O)=O)[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,121.1442078,585.234,5485288.587,2.05E-05,0.938588142,0.938588142,0.895112343,model_1,66382438705,EtFOSAA,67577016204,8.12E-05,0.047503982
EtFOSAA,2020071205-cal21,66706,5.35,0.041,CCN(CC(O)=O)[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,121.1442078,585.234,8081045.529,7.01E-05,0.938588142,0.938588142,0.895112343,model_1,66382438705,EtFOSAA,67577016204,1.20E-04,0.069983892
EtFOSAA,2020071205-cal22,112757,5.36,0.041,CCN(CC(O)=O)[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,121.1442078,585.234,13659857.44,7.01E-05,0.938588142,0.938588142,0.895112343,model_1,66382438705,EtFOSAA,67577016204,2.02E-04,0.11829781
EtFOSAA,2020071206-cal31,154440,5.35,0.145,CCN(CC(O)=O)[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,121.1442078,585.234,18709511.46,2.48E-04,0.938588142,0.938588142,0.895112343,model_1,66382438705,EtFOSAA,67577016204,2.77E-04,0.162029087
EtFOSAA,2020071206-cal32,223870,5.36,0.145,CCN(CC(O)=O)[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,121.1442078,585.234,27120553.81,2.48E-04,0.938588142,0.938588142,0.895112343,model_1,66382438705,EtFOSAA,67577016204,4.01E-04,0.234870835
EtFOSAA,2020071207-cal41,839286,5.35,0.507,CCN(CC(O)=O)[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,121.1442078,585.234,101674637.6,8.66E-04,0.938588142,0.938588142,0.895112343,model_1,66382438705,EtFOSAA,67577016204,0.001504574,0.880527999
EtFOSAA,2020071207-cal42,983804,5.36,0.507,CCN(CC(O)=O)[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,121.1442078,585.234,119182156.3,8.66E-04,0.938588142,0.938588142,0.895112343,model_1,66382438705,EtFOSAA,67577016204,0.001763649,1.032147525
EtFOSAA,2020071208-cal51,1194539,5.34,1.76,CCN(CC(O)=O)[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,121.1442078,585.234,144711480.9,0.003007344,0.938588142,0.938588142,0.895112343,model_1,66382438705,EtFOSAA,67577016204,0.00214143,1.253237914
