ID;Neutral formula;MW;m/z;Possible structure number;SMILES
PFPeA;C5F9O2H;263.9832827;262.97601;;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PFHxA;C6F11O2H;313.98061;312.97281;;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PFHpA;C7F13O2H;363.97742;362.96962;;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PFOA;C8F15O2H;413.97423;412.96643;;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PFNA;C9F17O2H;463.97103;462.96323;;FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PFDA;C10F19O2H;513.96784;512.96004;;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PFUnDA;C11F21O2H;563.96464;562.95684;;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PFDoDA;C12F23O2H;613.96145;612.95365;;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PFTriDA;C13F25O2H;663.95826;662.95046;;FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PFTeDA;C14F27O2H;713.95506;712.94726;;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PFPeDA;C15F29O2H;763.95187;762.94407;;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F
PFHxDA;C16F31O2H;813.94868;812.94088;;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PFOcDA;C18F35O2H;913.941765;912.93449;;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PFBS;C4F9SO3H;299.95079;298.94299;;OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PFPeS;C5F11SO3H;349.9476;348.9398;;OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PFHxS;C6F13SO3H;399.9444;398.9366;;O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PFHpS;C7F15SO3H;449.94121;448.93341;;O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PFOS;C8F17SO3H;499.93802;498.93022;;O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PFNS;C9F19SO3H;549.93482;548.92702;;OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PFDS;C10F21SO3H;599.93163;598.92383;;O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PFDoDS;C12F25SO3H;699.9247;698.9169;;FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
3:3 FTA;C6F7H5O2;241.0105;;;OC(=O)CCC(F)(F)C(F)(F)C(F)(F)F
4:3 FTCA;C7F9O2H5;292.01511;291.00731;;FC(F)(CCC(=O)O)C(F)(F)C(F)(F)C(F)(F)F
5:3 FTA;C8F11O2H5;342.01191;341.00411;;OC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
6:3 FTCA;C9F13O2H5;392.00872;391.00092;;FC(F)(CCC(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
7:3 FTA;C10F15O2H5;442.00553;440.99773;;OC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
8:3 FTCA;C11F17O2H5;492.00233;490.99453;;FC(F)(CCC(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
9:3 FTCA;C12F19O2H5;541.99914;540.99134;;FC(F)(CCC(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
10:3 FTCA;C13F21O2H5;591.99594;590.98814;;FC(F)(CCC(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
11:3 FTCA;C14F23O2H5;641.99275;640.98495;;FC(F)(CCC(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
4:2 FTS;C6F9SO3H5;327.98209;326.97429;;FC(F)(CCS(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)F
6:2 FTS;C8F13SO3H5;427.9757;426.9679;;FC(F)(CCS(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
8:2 FTS;C10F17SO3H5;527.96932;526.96152;;FC(F)(CCS(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
10:2 FTSA;C12F21SO3H5;627.96293;626.95513;;FC(F)(CCS(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
12:2 FTSA;C14F25SO3H5;727.95654;726.94874;;FC(F)(CCS(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
ClPFLCAs n=8;C9HF16O2Cl;479.94148;478.93368;isomer 1;FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(Cl)(F)F
ClPFLCAs n=8;C9HF16O2Cl;479.94148;478.93368;isomer 2;FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(Cl)(F)C(F)(F)F
ClPFLCAs n=8;C9HF16O2Cl;479.94148;478.93368;isomer 3;FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(Cl)(F)C(F)(F)C(F)(F)F
ClPFLCAs n=8;C9HF16O2Cl;479.94148;478.93368;isomer 4;FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(Cl)(F)C(F)(F)C(F)(F)C(F)(F)F
ClPFLCAs n=8;C9HF16O2Cl;479.94148;478.93368;isomer 5;FC(F)(C(F)(F)C(=O)O)C(F)(F)C(Cl)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
ClPFLCAs n=8;C9HF16O2Cl;479.94148;478.93368;isomer 6;FC(F)(C(F)(F)C(=O)O)C(Cl)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
ClPFLCAs n=8;C9HF16O2Cl;479.94148;478.93368;isomer 7;ClC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
ClPFLCAs n=8;C9HF16O2Cl;479.94148;478.93368;isomer 8;FC(F)(C(Cl)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
ClPFLCAs n=9;C10HF18O2Cl;529.93829;528.93049;;FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(Cl)(F)F
ClPFLCAs n=10;C11HF20O2Cl;579.93509;578.92729;;FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(Cl)(F)F
ClPFLCAs n=11;C12HF22O2Cl;629.9319;628.9241;;FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(Cl)(F)F
ClPFLCAs n=12;C13HF24O2Cl;679.92871;678.92091;;FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(Cl)(F)F
