ID,SMILES
d/C PFSA n=8,FC1(S(O)(=O)=O)C(F)(F)C(F)(F)C(F)(C(F)(F)C1(F)F)C(F)(F)C(F)(F)F
eecec PFSA n=8,FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)OC(F)(F)C(/F)=C(\F)C(F)(F)F
eecec PFSA n=8,FC1(S(O)(=O)=O)C(F)(F)C(F)(F)C(F)(OC(F)(F)C(F)(F)F)C(F)(F)C1(F)F
eecec PFSA n=8,FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)=O
ether PFSA n=4,FC(F)(OC(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)O
ether PFSA n=4,FC(F)(C(F)(F)OC(F)(F)C(F)(F)F)S(=O)(=O)O
ether PFSA n=4,FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)OC(F)(F)F
ether PFSA n=8,FC(F)(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)O
ether PFSA n=8,FC(F)(C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)O
ether PFSA n=8,FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
ether PFSA n=8,FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
ether PFSA n=8,FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F
ether PFSA n=8,FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)F
ether PFSA n=8,FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)F
H-PFDoDA,FC(F)(C(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
H-PFDS,FC(F)(C(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
NMe-FBSAA,FC(F)(C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)N(C)CC(=O)O
