ID	Formula	Class	RT (2020071202-cal8.raw)	ms2 RT	Method m/z [M-H]-	in source frag m/z	Monoisotopic mass (da) 	[M-H]-	Theoretical monoisotopic m/z [M-H]-		Cas no.	ACD/IUPAC ID	SMILES
						C02 (theoretical)	*from chemspider						
10:2 diPAP	C24H9F42O4P	Fluorotelomer phosphate ester	9.05		1188.9495	not detected (ND)					1895-26-7		O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
10:2 mono PAP	C12F21H6O4P	Fluorotelomer phosphate ester	9.40		642.95956	ND							OP(O)(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
11Cl-PF3OUdS	C10F20O4SClH	Chlorinated polyfluorinated ether sulfonates	6.21		630.88919	No fragments (NA)					83329-89-9	"2-[(8-Chloro-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-hexadecafluorooctyl)oxy]-1,1,2,2-tetrafluoroethanesulfonic acid"	O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl
4:2 diPAP	C12H9F18O4P	Fluorotelomer phosphate ester	5.44		587.98	ND	589.995117				135098-69-0	"Bis(3,3,4,4,5,5,6,6,6-nonafluorohexyl) hydrogen phosphate"	O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
4:2 FTS	C6F9H5SO3	Fluorotelomer sulfonic acid	2.46		326.97429	306.9681	327.981567					"3,3,4,4,5,5,6,6,6-Nonafluoro-1-hexanesulfonic acid"	O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
4:2 mono PAP	C6F9H6O4P	Fluorotelomer phosphate ester	0.96	1.89	342.97872		343.985992					"Tris(2,2,2-trifluoroethyl) phosphate"	FC(F)(F)CO[P](=O)(OCC(F)(F)F)OCC(F)(F)F
4:2 mono PAP linear		Fluorotelomer phosphate ester										"3,3,4,4,5,5,6,6,6-Nonafluorohexyl dihydrogen phosphate"	O[P](O)(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
6:2 diPAP	C16H9F26O4P	Fluorotelomer phosphate ester	6.44	6.31	788.97505						57677-95-9		O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
6:2 FTS	C8F13H5SO3	Fluorotelomer sulfonic acid	4.04	3.81	426.9679	NA?	427.975189				425670-75-3	"3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluoro-1-octanesulfonic acid"	O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
6:2 mono PAP	C8F13H6O4P	Fluorotelomer phosphate ester	3.53	3.62	442.97234	362.96969	443.979614					"3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluorooctyl dihydrogen phosphate"	O[P](O)(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
6:2/8:2 diPAP	C18H9F30O4P	Fluorotelomer phosphate ester	6.89		888.96866		889.975952					"Bis(3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-pentadecafluorononyl) hydrogen phosphate"	O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
6:2/8:2 diPAP		Fluorotelomer phosphate ester										"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodecyl 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl hydrogen phosphate"	O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
8:2 diPAP	C20H9F34O4P	Fluorotelomer phosphate ester	7.72		988.96228						678-41-1		O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
8:2 FTS	C10F17H5SO3	Fluorotelomer sulfonic acid	4.97		526.96152		527.968811				481071-78-7	"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluoro-1-decanesulfonic acid"	O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
8:2 mono PAP	C10F17H6O4P	Fluorotelomer phosphate ester	4.70		542.96595		543.9732244				57678-03-2	"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodecyl dihydrogenato phosphate"	OP(O)(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
9Cl-PF3ONS	ClC8F16O4SH	Chlorinated polyfluorinated ether sulfonates	5.55		530.89558			[C8F16SO4Cl]-				"2-[(6-Chloro-1,1,2,2,3,3,4,4,5,5,6,6-dodecafluorohexyl)oxy]-1,1,2,2-tetrafluoroethanesulfonic acid"	O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl
EtFOSA	C10F17SO2NH6	Perfluoroalkane sulfonamides	7.85		525.9775		526.9847784				4151-50-2	"N-Ethyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctane-1-sulfonamide"	CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
EtFOSAA	C12F17SO4NH8	Perfluoroalkane sulfonamidoacetic acids	5.44		583.98298		584.9902577				2991-50-6	"N-Ethyl-N-(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctane-1-sulfonyl)glycine"	CCN(CC(O)=O)[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
EtFOSE	C12F17SO3NH10	Perfluoroalkane sulfamido ethanols	7.71		630.02485		571.0109931					"N-Ethyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-(2-hydroxyethyl)octane-1-sulfonamide"	CCN(CCO)[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
FHpPA	C10F15H5O2	Fluorotelomer carboxylic acid	4.80		440.99773						812-70-4		OC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
FOSA	C8F17SO2NH2	Perfluoroalkane sulfonamides	6.56		497.9462			[C8HF17NO2S]-	497.945652				N[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
FOSAA	C10H4F17NO4S	Perfluoroalkane sulfonamidoacetic acids	5.00		555.95168			[C10H4F17NO4S]-	555.951132		2806-24-8	N-[(Heptadecafluorooctyl)sulfonyl]glycine 	OC(=O)CN[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
FPePA	C8F11H5O2	Fluorotelomer carboxylic acid	3.60		341.00411						914637-49-3	"4,4,5,5,6,6,7,7,8,8,8-Undecafluorooctanoic acid"	OC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
FPrPA	C6F7H5O2	Fluorotelomer carboxylic acid	1.30		241.0105						356-02-5	"4,4,5,5,6,6,6-Heptafluorohexanoic acid"	OC(=O)CCC(F)(F)C(F)(F)C(F)(F)F
HFPO-DA	C6F11O3H	Chlorinated polyfluorinated ether carboxylic acids	3.10		328.96773	284.97805					62037-80-3	"Ammonium 2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)propanoate"	OC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F
MeFOSA	C9F17SO2NH4	Perfluoroalkane sulfonamides	7.64		511.96185						2355-31-9	N-[(Heptadecafluorooctyl)sulfonyl]-N-methylglycine	CN(CC(O)=O)[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
MeFOSAA	C11F17SO4NH6	Perfluoroalkane sulfonamidoacetic acids	5.25		569.96733		570.9746076				2355-31-9	"N-(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluorooctane-1-sulfonyl)-N-methylglycine"	CN(CC(O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
MeFOSE	C11F17SO3NH8	Perfluoroalkane sulfamido ethanols	7.81		616.0092		556.9953431				24448-09-7	"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-N-(2-hydroxyethyl)-N-methyloctane-1-sulfonamide"	CN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
NaDONA	C7F12O4H2	Chlorinated polyfluorinated ether carboxylic acids	3.60		376.96887		377.9761465				919005-14-4	"2,2,3-Trifluoro-3-(1,1,2,2,3,3-hexafluoro-3-(trifluoromethoxy)propoxy)propanoic acid"	OC(=O)C(F)(F)C(F)OC(F)(F)C(F)(F)C(F)(F)OC(F)(F)F
PFBA	C4F7O2H	Perfluoro carboxylic acid	0.70		212.9792	168.9792	213.9864764				45048-62-2	Heptafluorobutanoic acid	OC(=O)C(F)(F)C(F)(F)C(F)(F)F
PFBS	C4F9SO3H	PerFluoroSulfonicAcid	2.50		298.94299	NA	299.9502685	[C4F9SO3]-	298.942444		45187-15-3	Nonafluorobutane-1-sulfonic acid	OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PFBS-br		PerFluoroSulfonicAcid										"1,1,2,2-Tetrafluoro-2-(1,1,2,2-tetrafluoroethoxy)ethane-1-sulfonyl fluoride"	FC(F)C(F)(F)OC(F)(F)C(F)(F)S(F)(=O)=O
PFDA	C10F19O2H	Perfluoro carboxylic acid	5.15		512.96004	468.96004	513.9673144	[C10F19O2]-	512.959487		73829-36-4	Nonadecafluorodecanoic acid	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PFDA-br	C10F19O2H	Perfluoro carboxylic acid						[C10F19O2]-				"2,2,3,4,4,5,5,6,6,7,8,8,8-Tridecafluoro-3,7-bis(trifluoromethyl)octanoic acid"	OC(=O)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F
PFDoDA	C12F23O2H	Perfluoro carboxylic acid	6.02		612.95365	568.95365	613.960927	[C12F23O2]-	612.953099		307-55-1	Tricosafluorododecanoic acid	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PFDS	C10F21SO3H	PerFluoroSulfonicAcid	5.93		598.92383			[C10F21SO3]-			126105-34-8	"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Henicosafluoro-1-decanesulfonate"	O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PFHpA	C7F13O2H	Perfluoro carboxylic acid	3.42		362.96962	318.96962		[C7F13O2]-	362.969069		375-85-9	Tridecafluoroheptanoic acid	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PFHpA-br		Perfluoro carboxylic acid									15899-29-3	"2,2,3,3,4,4,5,6,6,6-Decafluoro-5-(trifluoromethyl)hexanoic acid"	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F
PFHpS	C7F15SO3H	Perfluoro sulfonic acid	4.57		448.93341			[C7F15SO3]-	448.932862		375-92-8	"1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoroheptane-1-sulfonic acid"	O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PFHpS-br	C7F15SO3H	Perfluoro sulfonic acid	4.40		448.93341		449.940674					"1,1,1,3,3,3-Hexafluoro-2-propanyl 1,1,2,2,3,3,4,4,4-nonafluoro-1-butanesulfonate"	FC(F)(F)C(O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F
PFHxA	C6F11O2H	Perfluoro carboxylic acid	2.70		312.97281	268.97281		[C6F11O2]-	312.972263		92612-52-7	Undecafluorohexanoic acid	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PFHxDA	C16F31O2H	Perfluoro carboxylic acid	7.35		812.94088	768.95153	813.9481523	[C16F31O2]-	812.940322		67905-19-5	Hentriacontafluorohexadecanoic acid	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PFHxS	C6F13SO3H	Perfluoro sulfonic acid	4.02		398.9366			[C6F13SO3]-	398.936056		108427-53-8	"1,1,2,2,3,3,4,4,5,5,6,6,6-Tridecafluoro-1-hexanesulfonate"	O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PFHxS-br	C6F13SO3H	Perfluoro sulfonic acid	3.85										
PFNA	C9F17O2H	Perfluoro carboxylic acid	4.68		462.96323	418.96323	463.970508	[C9F17O2]-	462.962681		15899-31-7	"2,2,3,3,4,4,5,5,6,6,7,8,8,8-Tetradecafluoro-7-(trifluoromethyl)octanoic acid"	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F
PFNA-br ?	C9F17O2H	Perfluoro carboxylic acid									238403-51-5	"2,2,3,4,4,6,6,6-Octafluoro-3,5,5-tris(trifluoromethyl)hexanoic acid"	OC(=O)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F
PFNS	C9F19SO3H	Perfluoro sulfonic acid	5.50		548.92702		549.9343002	[C9F19SO3]-	548.926474			Nonadecafluorononane-1-sulfonic acid	OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PFNS-br	C9F19SO3H	Perfluoro sulfonic acid	5.35		548.92702								
PFOA	C8F15O2H	Perfluoro carboxylic acid	4.01		412.96643	368.96643	413.9737017	[C8F15O2]-	412.965875		335-67-1	Pentadecafluorooctanoic acid	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PFOA-Br		Perfluoro carboxylic acid									15166-06-0	"2,2,3,3,4,4,5,5,6,7,7,7-Dodecafluoro-6-(trifluoromethyl)heptanoic acid"	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F
PFOcDA	C18F35O2H	Perfluoro carboxylic acid	7.96		912.93449	868.9459	913.941765				16517-11-6	Pentatriacontafluorooctadecanoic acid	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PFOS	C8F17SO3H	Perfluoro sulfonic acid	5.05		498.93022			[C8F17SO3]-	498.929668		45298-90-6	"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-1-octanesulfonate"	O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PFOS-br (many)	C8F17SO3H	Perfluoro sulfonic acid	4.90		498.93022								
PFPeA	C5F9O2H	Perfluoro carboxylic acid	1.63		262.97601	218.98576	263.9832827				45167-47-3	Nonafluoropentanoic acid	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
