Sum_PFAS,Sample_type,SD,Individual
62.0919258,W. Greenland; White-beaked dolphin,8.664463181,DL1
77.49250416,W. Greenland; White-beaked dolphin,8.664463181,DL2
81.87074895,W. Greenland; White-beaked dolphin,8.664463181,DL3
79.97127602,W. Greenland; White-beaked dolphin,8.664463181,DL4
102.7426308,W. Greenland; White-beaked dolphin,8.664463181,DL5
278.9579135,E. Greenland; Long-finned pilot whale,19.82447997,PL1
217.2195942,E. Greenland; Long-finned pilot whale,19.82447997,PL2
310.9171858,E. Greenland; Long-finned pilot whale,19.82447997,PL3
174.1325737,E. Greenland; Long-finned pilot whale,19.82447997,PL4
159.8040466,E. Greenland; Long-finned pilot whale,19.82447997,PL5
419.0677888,Sweden; White-beaked dolphin,19.82447997,SL1
684.752359,Sweden; White-beaked dolphin,19.82447997,SL2
363.0996768,Sweden; White-beaked dolphin,19.82447997,SL3
