name,SMILES,organic_modifier,organic_modifier_percentage,additive,additive_concentration_mM,instrument,source,solvent,pH.aq.,NH4,viscosity,logIE,nAcid,ALogP,nH,nN,AATS6e,AATS4i,AATS6i,AATS7i,AATS8i,AATS1s,AATS7s,AATS8s,ATSC1c,ATSC4c,ATSC6c,ATSC1v,ATSC3v,ATSC4v,ATSC5v,ATSC6v,ATSC5e,ATSC3p,ATSC6p,ATSC2i,ATSC3i,ATSC3s,AATSC1c,AATSC2m,AATSC4m,AATSC5m,AATSC5v,AATSC5i,AATSC1s,MATS2c,MATS3c,MATS4c,MATS5c,MATS2m,MATS3m,MATS4m,MATS5m,MATS6m,MATS1v,MATS6v,MATS1e,MATS5p,MATS1i,MATS1s,MATS6s,GATS1c,GATS4c,GATS5c,GATS1m,GATS2m,GATS5v,GATS6v,GATS3e,GATS2p,GATS3p,GATS4p,GATS1i,GATS3i,GATS4i,VE1_Dzp,VR2_Dzp,VE1_Dzi,VR2_Dzi,VE1_Dzs,VR2_Dzs,BCUTw-1l,BCUTc-1h,BCUTp-1l,SpMin8_Bhv,SpMin6_Bhi,SpMin7_Bhs,C1SP2,C2SP2,C3SP2,SCH-7,VCH-7,ASP-2,ASP-6,ASP-7,VP-7,AVP-7,VE1_Dt,VE3_Dt,VR2_Dt,nHBint2,ndssC,SsOH,minHBd,minHBa,minwHBa,minsOH,maxHaaCH,maxHother,hmin,ETA_dEpsilon_B,ETA_BetaP_s,ETA_Beta_ns_d,ETA_EtaP_L,fragC,nHBDon,IC0,IC2,MDEC-22,MDEC-23,MDEC-33,MLFER_A,MLFER_BO,MLFER_S,MLFER_E,topoShape,JGI1,JGI4,JGI5,VE2_D,XLogP,IC
11Cl-PF3OUdS,O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,MeCN,63.339999999999996,ammoniumacetate,2,Orbitrap,ESI,MeCN,7,1,0.7435760555020766,2.8679073701750113,1,6.5344,1,0,12.942410507462691,230.8988512525456,230.69172758341628,230.07396064466153,228.99379654646455,6.550518689986283,31.60192901234568,31.344181190994913,-0.5852703225023949,0.412784549234508,0.05443242035467845,-3.8384837774797376,-50.20222921001989,37.871864753089994,45.179653207947354,-49.16281057185672,-1.0224271994156295,-0.9999600957515182,-0.17629729555188411,-122.56433267097188,12.486603306808302,11.320513498149491,-0.01625750895839985,-5.184244123620154,-1.2450119818014596,-0.9671315846907388,0.6274951834437132,0.29107924373646094,-1.4054703513975657,-0.20542004722087295,0.00633094738649248,0.06859838451413744,-0.07867472169579369,-0.16602030639082505,0.05747605940068785,-0.03987028113456008,-0.03097143540734329,0.01985332268666035,-0.00679281634747562,-0.04674708820134203,-0.18704798368518724,-0.002651779352951,-0.0763849232196829,-0.13755684060596693,0.03970495626342931,1.7197922325789816,0.8795717983107338,1.0408186171604432,1.2801948933168998,1.0254731210905133,0.8813448540408607,0.8649457791345752,0.9221555831104076,1.2894847185664469,0.8806745706132905,0.7144416780353234,1.3788947065276915,0.950119525243254,0.9599488547811336,0.181523387827133,14.802966867745477,0.05145296922015149,11.62392735727979,0.3749619323729214,11.035265151046026,11.998531724310348,0.45994461428419187,3.98244921875,0.4976849511304364,0.6430576945919214,0.5712009641729223,0,0,0,0,0,0.29581408430243294,0.02690331683399366,0.01386233693897878,0.15941389973879275,0.00279673508313671,0.10430518635317156,-8.137563094330794,11.163395763642932,2,0,7.906323535838968,0.8139480977576217,-2.8588351653188653,0,7.906323535838968,0,0,0.31035422382258804,0,0.66667,0,0.24077,35.26,1,1.7592413968013587,3.4521682302599266,0,0,0,0.003,1.237,1.444,-0.7969999999999999,0.8571428571428571,0.5428571428571428,0.04820512820512824,0.03784219001610304,0.00289736628758809,7.695,155.79091314057297
4:2 FTS,O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MeCN,28.433333333333334,ammoniumacetate,2,Orbitrap,ESI,MeCN,7,1,0.9241633198610861,0.7137737611275601,1,1.755,5,0,10.943149,211.1338916424395,208.40919598691664,213.0297462135762,230.1957922478083,5.120873590982287,19.906084656084655,41.4375,-0.39363484334105425,-0.23397124255119597,-0.06477244150160227,15.478114509028288,-26.837695808304854,1.1206988447341075,4.578763886691348,-37.97851017476988,0.8885657343749989,0.21056969485617957,-0.12763396590182438,-4.511244163666742,72.01062393912942,72.69103428998055,-0.01711455840613279,-5.325376952221119,1.518080511123502,6.234637883709043,0.11740420222285508,-0.13211936885160602,-1.626111285322773,-0.09113373943527232,-0.01365831713223206,-0.09510769385856234,0.1516223230240275,-0.08949358170492348,0.00700385348497194,0.02551152030659895,0.10477381786346812,-0.30515829009665674,0.02216496367712007,-0.04169591168013312,-0.08379578882761923,0.00544096912983294,-0.05867259438558218,-0.14803015805226272,-0.40942954820381183,1.709902506274844,0.96082252305574,0.7485783570447535,0.8137310332425886,0.8990858413240423,0.9087674814306456,1.014620235933542,0.8789176673019077,1.3269632187127671,0.8099373976628431,0.8538104908588723,1.2188222186272744,0.7669080687645253,0.8891698380555416,0.31620160070004544,9.424960932612574,0.2585691058240217,18.021956479877613,0.6802898010897915,9.829320239490883,11.997523512031329,0.47885907248949006,3.043421844249529,0.21181262936203007,0.21898221758468792,0.7499999999999999,0,0,0,0,0,0.32639198900821886,0.04270833333333333,0.0234375,0.08239210336773631,0.00686600861397802,0.21966033712053695,-2.8797784109818236,13.123724064650323,2,0,8.141793390967498,0.7178703703703704,8.141793390967498,0,8.141793390967498,0,0,0.4415740740740741,0,0.63158,0,0.25273,18.13,1,2.068144667641655,3.4906015629507228,1,0,0,0.003,0.976,1.4130000000000005,-0.12399999999999994,1,0.5555555555555556,0.05629629629629633,0.02546296296296294,0.0115610703747651,3.524,112.9497421784555
4:2 mono PAP,OP(O)(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MeCN,21.266666666666666,ammoniumacetate,2,Orbitrap,ESI,MeCN,7,1,0.9298749469942211,0.0362276246803801,2,1.9004,6,0,10.446280833333333,208.94382644737425,202.914896581211,213.1253311854,204.75982046157776,5.163055555555555,18.504715363511657,20.540637860082303,-0.8118153893627965,0.13577431752637106,0.1190867885793538,-0.4220294951671901,23.828048661100027,-293.505039969212,43.25794220325339,163.8668487009216,-0.9152936464497056,0.3638599359738143,-0.27890194509729266,-11.728782212135316,72.30339579451054,114.76497015885964,-0.03247261557451186,0.17120724872159168,-13.583188461115627,6.393514795216317,0.961287604516742,0.26978180057888923,-2.306493220992075,0.0910732119280928,-0.12537513206790565,0.04445091474191071,-0.02719827740785239,0.00287156715179795,0.00423897741309186,-0.22782351853015617,0.10723498688033058,0.1064924697651853,-5.485797316818143e-4,0.1479195453182916,-0.24833337933404148,-0.00574065070029214,-0.1253476487193353,-0.22152188939515735,-0.17450387788424918,1.906622412227003,0.7708453570158957,0.8262212947761893,0.7373485952141944,0.7310352198096822,1.0408892938389125,0.8995066534720989,0.8647089654275482,1.0659638749377929,0.8042984824110498,0.8424532949074534,1.2564948160240828,0.8315151509767079,0.848635257209513,0.00692847767288404,10.46249993302574,0.29537244377404454,9.123465244477575,0.3888489801746824,12.597206843486026,11.997523500627093,0.478734369336073,2.3541399747651233,0.2231726473342584,0.17741940898872166,0.5676961760440623,0,0,0,0,0,0.3272150617835236,0.05431297091573248,0.03019935211317547,0.09200856827041928,0.00613390455136128,0.28984136952030143,-2.4768430146314677,8.500894787558936,6,0,16.316426288107834,0.766820987654321,3.4092780769715296,0,8.158213144053917,0,0,0.28192515432098764,0,0.65,0,0.25651,19.14,2,2.102406063462835,3.6133373140453062,1,0,0,0.989,1.955,1.295,-0.278,0.8,0.5263157894736842,0.04285714285714288,0.03439153439153437,0.01449206847601507,2.698,107.63927465693656
6:2 diPAP,O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MeCN,63.48,ammoniumacetate,2,Orbitrap,ESI,MeCN,7,1,0.7423418515406964,1.1699668086622583,1,6.312,9,0,10.995112410256407,216.7851875073173,209.455362116962,204.7592530029275,200.3583038747716,5.792901234567902,17.03245027434842,11.669869996258884,-0.921564509106234,0.13353782827749328,0.29598920293364483,-77.19671899163896,179.72432412305056,-482.8237930834353,-69.54146731415142,59.89425990536961,0.8783779687500166,0.21634650158565505,0.05789418134403253,-73.68818620839271,153.74056010084527,341.9726242729384,-0.01675571834738607,5.739349027986952,-10.704311863742264,3.5847532584245614,-0.55191640725517,0.6521025391321708,-1.046312274029541,-0.11444621793908766,-0.0342088212158188,0.01662048214554322,-0.07662357109715771,0.12676526435823657,0.09177835246917496,-0.23642662548721735,0.07917660909753485,0.29122074085713673,-0.0544372413404184,0.01985451565330557,-0.115586446941005,-0.00315428958014959,-0.07209085708136255,-0.0946842683561742,0.1585558360598434,1.739899253031262,0.917707565265416,0.9706667107358328,0.6688153306013336,0.6452562107927774,1.1023927722250566,1.105726261245031,0.8183999222927838,1.1243857700705788,1.0491040312280069,1.0207388380589637,1.3020732806864903,0.8642151072726739,0.84476077695523,2.775557561562891e-17,85113.35832379594,1.5265566588595902e-15,85113.71409249782,8.049116928532385e-16,85113.43018869667,11.997396276459698,0.47903493067804054,2.976100471908698,1.0605426879646576,1.0775181207901026,0.6150685486735826,0,0,0,0,0,0.29927484876816673,0.03782931995911323,0.02313789898741004,0.3525025901916038,0.00568552564825167,7.2164496600635185e-16,-163.8654924460449,85113.53591348733,3,0,9.069532858865925,0.6423765432098765,3.298098962074882,0,9.069532858865925,0,0,0.15362654320987656,0,0.65957,0,0.25839,46.31,1,1.8298413919745824,3.209888638014727,2.065979662384912,0,0,0.496,1.813,0.48699999999999977,-1.709,1,0.5,0.04559139784946237,0.03680555555555551,1.5354148212901102e-17,11.167,119.92905264569504
6:2 FTS,O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MeCN,40.501333333333335,ammoniumacetate,2,Orbitrap,ESI,MeCN,7,1,0.8903288451154545,0.7802549217382553,1,2.7382,5,0,11.724557625000005,217.96870952207712,219.8108147760938,216.02987421647433,208.40919598691664,5.54845146871009,22.633725071225072,16.211342592592594,-0.3932188921628186,-0.24497059409759492,0.00368052298391147,17.642289941357767,24.16710175736867,51.31922002468434,48.20632909544973,-103.62449243865666,1.6692951366666666,0.1980964554442464,0.11631040254283054,-29.98791503642112,84.07568184455228,98.49423725422962,-0.01355927214354546,-4.643663220885381,3.332465362623573,6.221544416682914,0.8457250718499953,0.07791524067380606,-1.3837729444891171,-0.1366924454402745,-0.00700691842242677,-0.06655386251904766,0.02908017583712035,-0.09067697663416842,0.04906772098817782,0.0650731694886303,0.12148831878303916,-0.07092481696321681,0.02249927274021194,-0.07984223803181133,-0.07884170706449321,0.0034557876060033,-0.0492326958035489,-0.12455664135220182,-0.03828978623946969,1.6540896579081676,0.997705989892926,0.919540536467642,0.8199835472879667,0.8909017990659913,0.8370030830839932,0.9596397390794928,0.8729135840507691,1.3494744473239382,0.8358410779451987,0.8666665149424453,1.254283579303476,0.8154938555257911,0.9120075844811928,0.23293370537069907,10.420467083367464,0.25874992882612874,11.212580163991497,0.711888399946834,10.293398895334006,11.99747588928101,0.4789051979506763,3.017241072548168,0.3648140737560232,0.1540452030686729,0.5568563058602602,0,0,0,0,0,0.31123962836961366,0.03245053688727876,0.01830815126533831,0.1302706125583842,0.00542794218993267,0.21834781590669716,-3.804165004544512,10.38574986559513,2,0,8.183039947441328,0.7117485460667279,8.183039947441328,0,8.183039947441328,0,0,0.3692951625094482,0,0.64,0,0.25224,24.17,1,1.9578824518607028,3.2825887305018333,1,0,0,0.003,0.9859999999999998,1.287,-0.408,1,0.5416666666666666,0.05511111111111115,0.03306878306878307,0.00873391263626788,5.2860000000000005,115.36174430246278
6:2 mono PAP,O[P](O)(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MeCN,37.63384615384615,ammoniumacetate,2,Orbitrap,ESI,MeCN,7,1,0.9010923292034795,1.0234690660163008,2,2.8836,6,0,11.306489000000004,216.05279968747948,214.88110197349255,215.24103765473777,208.6932633230055,5.554883512544802,20.952829218106995,15.180619855967077,-0.8113979010219299,0.12620389688139758,0.1978746733439252,6.359556590174562,76.23156566217051,-239.31549108752804,120.781265498007,123.4082785909759,0.6604701318359352,0.3790143471089781,-0.0207619028927922,-39.647179860360374,84.75699498894912,145.88717937425878,-0.02617412583941709,-0.30327979535344374,-7.592572192398052,8.22207064312758,1.9171629444128095,0.4537301859322156,-2.0171876558656003,0.00753092389136236,-0.08907194865345096,0.0292570494971064,-0.06821962371735983,-0.00580159634428193,0.04651520500529912,-0.14524224742297218,0.1572842494502665,0.2397692083460919,0.0073929276974174,0.08235725273781141,-0.2121855725761281,-0.0041351783844345,-0.10298103983591168,-0.1879722299105821,0.11014100057312866,1.8163193377583176,0.8490632817444537,0.9265535700357916,0.7416609155018172,0.7266690775540019,0.9479570597612996,0.8795200265841656,0.8549860525440801,1.1118883792208911,0.8141642546683701,0.8394503362793491,1.278781973152452,0.867897380083806,0.8884946327237119,0.05971019571265126,18.994414471769147,0.3198852944610049,15.367100490569738,0.3567285853212281,158.93300681853165,11.99747588212413,0.4787837210286777,2.361239029640127,0.49736818621439505,0.24569975089543455,0.5153605717949498,0,0,0,0,0,0.3121799341968062,0.03910767204898287,0.02251480994850784,0.13911008576164213,0.00515222539857933,0.3179926128303848,-2.9788905290687726,13.171658391574756,6,0,16.38048964898938,0.7622376543209877,3.2964134936381964,0,8.19024482449469,0,0,0.27348765432098776,0,0.65385,0,0.25516,25.18,2,2.0120158956199643,3.4147170014624826,1,0,0,0.989,1.9650000000000003,1.169,-0.562,0.8333333333333334,0.52,0.04695652173913046,0.03846153846153845,0.01223048510886095,4.460000000000001,109.95449428753588
6:2/8:2 diPAP,O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MeCN,69.64,ammoniumacetate,2,Orbitrap,ESI,MeCN,7,1,0.6840232560980172,1.0336813497096056,1,7.2952,9,0,11.239860622222215,219.06868198109683,213.0206325726262,209.25005836457268,206.27448985681525,5.930074883626796,19.309064520870077,15.791172048116492,-0.9215625460372632,0.1365524596725065,0.28641797539617514,-74.92339555623366,204.19288492733943,-455.4277276621095,-31.66816725581415,100.52530578213263,1.8450302778355985,0.24119209527778596,0.08350123347064536,-100.20559577451458,160.21064045490334,360.3534639417505,-0.01510758272192234,5.012714729885862,-8.861046474373383,4.079981896376922,-0.21991782816537608,0.6428956094347188,-0.972752959613839,-0.13146179113322246,-0.02960089733144421,0.01465396289299818,-0.06433253374628581,0.11790107357359958,0.099509755978407,-0.20841538938681428,0.09596282087942452,0.29432814566544374,-0.04998700654311577,0.03030478085032675,-0.10746544631290247,-0.00236697093978958,-0.06550791153665175,-0.08784092772605294,0.15626131675258906,1.7117376647229456,0.9327399927770468,0.9793900023592692,0.6803380179968583,0.6563675466243483,1.07279860149251,1.07010186859443,0.825337474143598,1.152249777893153,1.0404434982942532,1.0134047914861808,1.3157203371150734,0.8774481218542663,0.8616855546160671,0.14101867341398444,14.0675656132006,0.12483960641569876,14.26296713102436,0.11182385331299775,11.652808939692475,11.99738667685306,0.4790982430239796,2.977870632658643,1.237799457665617,1.2159928715968773,0.6356390361576443,0,0,0,0,0,0.29571965933881256,0.03470778491326336,0.02035305269364253,0.4021899248803463,0.00502737406100432,0.13333013278001163,-10.679113232395496,24.17398912322285,3,0,9.090233483790447,0.6396129377676996,3.2160638381079396,0,9.090233483790447,0,0,0.14904320987654318,0,0.66038,0,0.25752,52.35,1,1.7800883602707784,3.0905047777798647,2.065979662384912,0,0,0.496,1.823,0.36099999999999965,-1.9929999999999997,1,0.5,0.0468468468468468,0.03684807256235821,0.00251566288264172,12.929,122.59925548644893
8:2 diPAP,O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MeCN,75.19333333333333,ammoniumacetate,2,Orbitrap,ESI,MeCN,7,1,0.6246923990178999,0.9473265467458938,1,8.278400000000001,9,0,11.427021019607835,220.87144077618612,215.74701586225189,212.61816238580656,210.61302624364717,6.0426801179288745,21.016525205761315,18.81346021947874,-0.921560582968292,0.13956709106752008,0.2768467478587052,-73.07464452785442,223.71172696869127,-433.63838556433745,-1.4610934286826591,132.79288525273117,2.613075455449851,0.2611327515423916,0.10360637680200148,-126.5618585074712,165.34383401595124,374.9994720679104,-0.01375463556669092,4.393828605895159,-7.515810212581255,4.29331058487854,-0.00901909523878184,0.6225190999564613,-0.9079233017639972,-0.14471773788381626,-0.02606227012758624,0.01315368573872496,-0.05509740008130699,0.10943000324301472,0.10436174193247012,-0.1871841643602505,0.10692656299705888,0.293893968514282,-0.04631289010084519,0.03685473994501515,-0.10048603172229845,-0.00181821277465962,-0.06007995758504281,-0.08197818543839266,0.15122064163664908,1.6894931094595904,0.9435515124043898,0.985042571776507,0.6925986309690225,0.6684265531553588,1.0510561587941518,1.0444584605179217,0.8324159693877029,1.176266329410879,1.0339294638512486,1.0082200026221242,1.327824515965618,0.8881339903236489,0.874993042929069,1.3877787807814454e-16,67804.75706053877,6.661338147750939e-16,67805.28633685707,2.0261570199409107e-15,67805.05340040638,11.997378870549268,0.4791661719804305,2.9796405217694333,1.2840235273574314,1.2613160143997886,0.8029917331977253,0,0,0,0,0,0.2929545120048705,0.03259863961201345,0.01859121116085085,0.45187725956908886,0.00461099244458254,1.7763568394002505e-15,-200.3888498998802,67805.05813957767,3,0,9.110934108714977,0.6368493323255229,3.1541204586851648,0,9.110934108714977,0,0,0.14627960443436627,0,0.66102,0,0.25682,58.39,1,1.735380142526228,2.9795952857971995,2.065979662384912,0,0,0.496,1.833,0.23499999999999976,-2.277,1,0.5,0.04775193798449603,0.03687739463601529,3.010774304068221e-17,14.691,125.25400131437574
8:2 FTS,O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MeCN,50.086666666666666,ammoniumacetate,2,Orbitrap,ESI,MeCN,7,1,0.8419443371094849,0.8419228014998281,1,3.721400000000001,5,0,12.026239363636368,221.8743197390129,224.2791990738257,222.3977741063596,219.8108147760938,5.8294312169312175,25.897417153996106,24.55396412037037,-0.3932170350143708,-0.24191784743587996,-0.00731845104326488,18.974453025573226,56.510992074439685,82.13000791524445,73.64089483585423,-77.06161856262307,2.0784273634259307,0.18750931559181927,0.10964655815474336,-55.65800126259761,91.37974101514612,114.46058999993645,-0.01123477242898202,-4.266466745444167,3.671614053250601,5.543702855353393,0.9818785978113896,0.1228075115756322,-1.2008868032269808,-0.16269635092548582,-0.00528560356648692,-0.04899607915761761,0.02337185847877402,-0.09421940614124556,0.06940418382799556,0.08108285293598576,0.12242551554226322,-0.03739700610314789,0.0219367849808638,-0.04724609820169277,-0.07289242121566437,0.00228190776142545,-0.04257737228148348,-0.1080880835627788,-0.01376691804889527,1.6218312453815371,1.0091174874889155,0.9575475231322664,0.8326871743379413,0.8944273118553636,0.8109937764365954,0.8941328183799481,0.8766144961663157,1.3672686631493285,0.8559718504736171,0.8796940646106849,1.2835838851354335,0.8456507067552742,0.9250936094173812,0.17935069272975673,11.588250157970135,0.2234652607732658,10.822290991293134,0.6323395695832783,12.962633057711264,11.99744537778466,0.47894897782480983,3.010693965404492,0.5113302744325853,0.4968510551243095,0.2408508651672279,0,0,0,0,0,0.3025811365761251,0.02865671994667057,0.01507357401524046,0.17995794724712663,0.00428471302969349,0.18833007399719984,-5.175633342875667,10.531303901759362,2,0,8.20853044616172,0.7082275914968224,8.20853044616172,0,8.20853044616172,0,0,0.3160873593264466,0,0.64516,0,0.25194,30.21,1,1.8624061895887103,3.0680500879587917,1,0,0,0.003,0.9960000000000002,1.161,-0.6920000000000001,1,0.5333333333333333,0.05460317460317464,0.03425925925925926,0.00607516367732902,7.048,117.82053841787094
8:2 mono PAP,OP(O)(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MeCN,47.326153846153844,ammoniumacetate,2,Orbitrap,ESI,MeCN,7,1,0.8578135648753398,1.4943893523788168,2,3.866800000000001,6,0,11.687547750000006,220.22012882823083,220.20954911373047,221.22785276322537,218.73334646802223,5.819632132132132,24.385949441505,22.93985768175583,-0.8113959379529544,0.12921852978554207,0.1883043823765439,10.855470650971071,109.06011460817145,-206.12963147193344,169.06762804224576,166.61901735848156,1.6129057222991734,0.38555637294556855,-0.01901384989622764,-67.08904658655615,92.24356180028155,165.09779253461335,-0.02192961994467444,-0.6958357297024722,-4.8421573633263915,8.145306979768753,2.087254667188219,0.4717452603052696,-1.7828235510041823,-0.04389098270808028,-0.06975898608383233,0.02309540777273702,-0.04958783511986311,-0.01487764195530222,0.06603932485142913,-0.10353001501317466,0.17415455356516318,0.2350232283942491,0.01148917658050223,0.09062208358794233,-0.1864611412934291,-0.00342042956495445,-0.08799815614965446,-0.16430733491744692,0.10723551245076124,1.758942934635931,0.8888416576341976,0.9506835643546838,0.753005924296575,0.7332840534368401,0.9048903989019268,0.8325238460747699,0.8568133496956358,1.1496995617337082,0.8264755393851746,0.8450137302547531,1.3007546308832356,0.8892527879224408,0.9090141649292108,0.07801443534971858,39.84845079382102,0.29187265589852096,64.87782304513455,0.2984180064924794,17.431905598101476,11.997445372860048,0.478830439954297,2.363011948866589,0.5337427514809071,0.587297097221281,0.23738432140560875,0,0,0,0,0,0.30347538664660134,0.03330557766228487,0.01781320770848203,0.18879742045038456,0.00419549823223076,0.292321472734977,-3.935683674474858,58.28358025233767,6,0,16.42189089883843,0.7594740488788108,3.214378369671254,0,8.210945449419215,0,0,0.2689043209876544,0,0.65625,0,0.25432,31.22,2,1.92645582253684,3.204046016459198,1,0,0,0.989,1.975,1.0429999999999997,-0.8460000000000003,0.8571428571428571,0.5161290322580645,0.04875000000000003,0.03801169590643274,0.00913504602296803,6.2219999999999995,112.31650590953609
