Compound,RT,SMILES,IE,slope,organic_modifier,pH.aq.,NH4,organic,viscosity,surface_tension,polarity_index
11Cl-PF3OUdS,6.215,O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,2.8679073701750113,324947940412.8674,MeCN,7,1,63.339999999999996,0.7435760555020766,30.875942828960692,6.969659999999999
4:2 FTS,2.475,O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.7137737611275601,37695147668.29843,MeCN,7,1,28.433333333333334,0.9241633198610861,35.67088967793843,8.749899999999998
4:2 mono PAP,1.707142857142857,OP(O)(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.0362276246803801,19143921319.34184,MeCN,7,1,21.266666666666666,0.9298749469942211,40.95830951768271,9.1154
6:2 diPAP,6.23,O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.1699668086622583,59485014556.73969,MeCN,7,1,63.48,0.7423418515406964,30.89113477321077,6.962519999999999
6:2 FTS,3.768,O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.7802549217382553,40286343385.67064,MeCN,7,1,40.501333333333335,0.8903288451154545,30.999691124416657,8.134432
6:2 mono PAP,3.460769230769231,O[P](O)(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.0234690660163008,51378853741.096275,MeCN,7,1,37.63384615384615,0.9010923292034795,31.707291704134576,8.280673846153846
6:2/8:2 diPAP,6.89,O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.0336813497096056,51906237484.1079,MeCN,7,1,69.64,0.6840232560980172,31.55818101474856,6.648359999999999
8:2 diPAP,7.485,O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.9473265467458938,47611968215.15552,MeCN,7,1,75.19333333333333,0.6246923990178999,32.02559792867422,6.365139999999999
8:2 FTS,4.795,O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.8419228014998281,42848919012.476006,MeCN,7,1,50.086666666666666,0.8419443371094849,30.02602580951768,7.645579999999999
8:2 mono PAP,4.49923076923077,OP(O)(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.4943893523788168,82281555400.69109,MeCN,7,1,47.326153846153844,0.8578135648753398,30.12009054412707,7.786366153846154
9Cl-PF3ONS,5.365,O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,2.6980434280230563,274184446959.91486,MeCN,7,1,55.406666666666666,0.8068414966216934,30.169135507246867,7.37426
EtFOSA,7.855,CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.496861511306493,224218074980.91266,MeCN,7,1,78.64666666666668,0.5845687678399857,32.171628928447056,6.189019999999999
EtFOSAA,5.35,CCN(CC(O)=O)[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.1420400429017552,57846772363.2382,MeCN,7,1,55.266666666666666,0.807840190582182,30.160984084749437,7.3814
7:3 FTA,5.06,OC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.9283090427113165,46715062899.23819,MeCN,7,1,52.56,0.8263541940030844,30.04664104627581,7.5194399999999995
FOSA,6.66,N[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.267194578935051,178208140340.06235,MeCN,7,1,67.49333333333334,0.7052410997586583,31.332117144967558,6.757839999999999
