name,total_measured_ng
11Cl-PF3OUdS,4.67503445
9Cl-PF3ONS,4.772379453
4:2 FTS,3.539759717
6:2 FTS,5.53667395
8:2 FTS,4.786630377
7:3 FTA,3.566180529
5:3 FTA,2.779321618
3:3 FTA,2.104043621
4:2 mono PAP,
6:2/8:2 diPAP,4.213926642
8:2 mono PAP,
8:2 diPAP,4.940318944
6:2 diPAP,5.010863
6:2 mono PAP,0.548521972
EtFOSA,8.907245802
EtFOSAA,4.49824859
FOSA,10.59943256
FOSAA,8.007041778
MeFOSA,7.742748539
MeFOSAA,4.966245548
NaDONA,4.89840188
PFBS,4.119987015
PFHxS,5.401644165
PFOS,13.01546228
PFDS,4.669135893
PFPeA,5.890034637
PFHxA,4.777409245
PFHpA,4.762142825
PFOA,5.369311977
PFNA,9.464074601
PFDA,11.77222273
PFUnDA,28.76334004
PFDoDA,10.039332
PFTriDA,29.43647165
PFTeDA,12.11972495
PFHxDA,9.640092466
