name,SMILES,logIE,pH.aq.,polarity_index,viscosity,surface_tension,NH4,data_type
EtFOSAA,CCN(CC(O)=O)[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.1069995859768083,7,7.3799125,0.8076329896197229,30.162639253722514,1,PFAS
EtFOSA,CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.455501705197088,7,6.190805,0.584988086368162,32.170904210632315,1,PFAS
MeFOSAA,CN(CC(O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.0741542046755588,7,7.490582499999999,0.8226111658689552,30.06313044298964,1,PFAS
PFTriDA,FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.6945273664311216,7,6.961924999999999,0.7422394519639575,30.8923964895792,1,PFAS
PFNA,FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.2571163341513183,7,7.7821324999999995,0.8573876839849062,30.11280001975172,1,PFAS
MeFOSA,FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)F)C(F)(F)S(=O)(NC)=O,2.4861861411346364,7,6.347885,0.6208718580234058,32.04592049825365,1,PFAS
FOSA,N[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.232965655918192,7,6.759029999999999,0.7054670733268291,31.3295939095633,1,PFAS
8:2 diPAP,O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.923962289003605,7,6.36412,0.6244682793716121,32.02688290026052,1,PFAS
6:2/8:2 diPAP,O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.052717405554022,7,6.649549999999999,0.6842596331169313,31.555825035687164,1,PFAS
6:2 diPAP,O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.1626166455852505,7,6.96133,0.7421364210183783,30.89366427052863,1,PFAS
PFDS,O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.7521292434112885,7,7.106212499999999,0.7663897949053963,30.59680332055587,1,PFAS
PFOS,O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.59,7,7.5233075,0.8268528354210395,30.04461780401952,1,PFAS
PFHxS,O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.4306012573271842,7,8.0121,0.8800300329585761,30.56862190704348,1,PFAS
11Cl-PF3OUdS,O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,2.8680486449964864,7,6.970849999999999,0.743781523718057,30.87341308679025,1,PFAS
9Cl-PF3ONS,O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,2.699535058394994,7,7.3745575,0.8068834320146713,30.168779835333364,1,PFAS
8:2 FTS,O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.8058055098652304,7,7.64677,0.8420855753252221,30.026249105037824,1,PFAS
6:2 FTS,O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.74796010939793,7,8.120687499999999,0.8892536131132287,30.94143081191424,1,PFAS
4:2 FTS,O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.6938370863343315,7,8.753767499999999,0.9242812741385157,35.71564201870292,1,PFAS
PFHxDA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.709605274707171,7,6.444275000000001,0.6419159520467952,31.918611305484262,1,PFAS
PFTeDA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.5594822204363938,7,6.781342499999999,0.7096718319800159,31.281970462011387,1,PFAS
PFDoDA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.8095199354610823,7,7.153812499999999,0.7739922321690367,30.506729317115074,1,PFAS
