name;SMILES;PFAS (Y/N);Structure
3-trifluoromethylbenzoic acid;OC(=O)c1cccc(c1)C(F)(F)F;Y;
pentafluorophenol;Oc1c(F)c(F)c(F)c(F)c1F;N;
4-(pentafluorophenyl)-2,3,5,6-tetrafluorophenol;Oc1c(F)c(F)c(c(F)c1F)c2c(F)c(F)c(F)c(F)c2F;N;
pentakis(trifluoromethyl)phenol;Oc1c(c(c(c(c1C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F;Y;
pentafluorobenzoic acid;OC(=O)c1c(F)c(F)c(F)c(F)c1F;N;
2,3,5,6-tetrafluorophenol;Oc1c(F)c(F)cc(F)c1F;N;
3-[(heptafluoropropyl)sulphonyl]benzoic acid;OC(C1=CC=CC(S(=O)(C(F)(C(F)(C(F)(F)F)F)F)=O)=C1)=O;Y;
3-[tris(trifluoromethyl)methylsulphonyl]benzoic acid;OC(C1=CC=CC(S(=O)(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)=O)=C1)=O;Y;
3-[(heptafluoropropyl)sulphanyl]benzoic acid;OC(C1=CC=CC(SC(F)(C(F)(C(F)(F)F)F)F)=C1)=O;Y;
3-trifluoromethylsulfonylbenzoic acid;OC(=O)c1cccc(c1)[S](=O)(=O)C(F)(F)F;Y;
3-[tris(trifluoromethyl)methyl]benzoic acid;FC(F)(F)C(c1cccc(c1)C(=O)O)(C(F)(F)F)C(F)(F)F;Y;
3-[(trifluoromethyl)sulphanyl]benzoic acid;OC(C1=CC=CC(SC(F)(F)F)=C1)=O;Y;
2-hydroxy-1,3,5-tris(2,2,2-trifluoroethyl)-1,3,5-benzenetrisulfonic acid ester;O=S(C1=C(O)C(S(=O)(OCC(F)(F)F)=O)=CC(S(=O)(OCC(F)(F)F)=O)=C1)(OCC(F)(F)F)=O;Y;
2-hydroxy-, 1,3,5-tris(2,2,3,3-tetrafluoro-propyl) 1,3,5-benzenetrisulfonic acid ester;O=S(C1=C(O)C(S(=O)(OCC(F)(C(F)F)F)=O)=CC(S(=O)(OCC(F)(C(F)F)F)=O)=C1)(OCC(F)(C(F)F)F)=O;Y;
heptafluorornapht-2-ol;FC1=C(O)C(F)=C(F)C2=C(F)C(F)=C(F)C(F)=C21;N;
perfluorooctanesulfonic acid;O=S(O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)=O;Y;
perfluoro-tert-butanol;OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F;Y;
2,3,4,5,6-pentafluoro-N-[(2,3,4,5,6-pentafluorophenyl)sulfonyl]-benzenesulfonamide;FC1=C(S(NS(C2=C(F)C(F)=C(F)C(F)=C2F)(=O)=O)(=O)=O)C(F)=C(F)C(F)=C1F;N;
3-(trifluoromethyl)phenol;Oc1cccc(c1)C(F)(F)F;Y;
