SMILES;Compound;slope;RT;organic_modifier_percentage;viscosity;surface_tension;polarity_index;organic_modifier;pH.aq.;NH4;additive;additive_concentration_mM;instrument;source;name;logIE;data_type
CCN(CC(O)=O)[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;EtFOSAA;66382438705.39989;5.353125;55.295833333333334;0.8076329896197229;30.162639253722514;7.3799125;MeCN;7;1;ammoniumacetate;2;Orbitrap;ESI;EtFOSAA;0.8951123430033812;PFAS
CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;EtFOSA;277601060991.12506;7.851249999999999;78.61166666666666;0.584988086368162;32.170904210632315;6.190805;MeCN;7;1;ammoniumacetate;2;Orbitrap;ESI;EtFOSA;2.325864849469089;PFAS
CN(CC(O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;MeFOSAA;64582232568.91695;5.120625;53.12583333333334;0.8226111658689552;30.06313044298964;7.490582499999999;MeCN;7;1;ammoniumacetate;2;Orbitrap;ESI;MeFOSAA;0.8676191341555097;PFAS
FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;PFTriDA;180587176242.91818;6.23125;63.49166666666667;0.7422394519639575;30.8923964895792;6.961924999999999;MeCN;7;1;ammoniumacetate;2;Orbitrap;ESI;PFTriDA;1.8958934308845392;PFAS
FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;PFNA;86734328154.79889;4.508125;47.409166666666664;0.8573876839849062;30.11280001975172;7.7821324999999995;MeCN;7;1;ammoniumacetate;2;Orbitrap;ESI;PFNA;1.1625295460603495;PFAS
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)F)C(F)(F)S(=O)(NC)=O;MeFOSA;290878563392.8525;7.52125;75.53166666666667;0.6208718580234058;32.04592049825365;6.347885;MeCN;7;1;ammoniumacetate;2;Orbitrap;ESI;MeFOSA;2.3725856709755697;PFAS
N[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;FOSA;225642197727.25894;6.657500000000001;67.47;0.7054670733268291;31.3295939095633;6.759029999999999;MeCN;7;1;ammoniumacetate;2;Orbitrap;ESI;FOSA;2.118630347625844;PFAS
O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;8:2 diPAP;36159592369.80663;7.4871428571428575;75.21333333333334;0.6244682793716121;32.02688290026052;6.36412;MeCN;7;1;ammoniumacetate;2;Orbitrap;ESI;8:2 diPAP;0.2876220613311524;PFAS
O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;6:2/8:2 diPAP;75357736659.71585;6.8875;69.61666666666667;0.6842596331169313;31.555825035687164;6.649549999999999;MeCN;7;1;ammoniumacetate;2;Orbitrap;ESI;6:2/8:2 diPAP;1.0219263949380373;PFAS
O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;6:2 diPAP;92020375332.34262;6.2325;63.50333333333333;0.7421364210183783;30.89366427052863;6.96133;MeCN;7;1;ammoniumacetate;2;Orbitrap;ESI;6:2 diPAP;1.2216898223612866;PFAS
O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;PFDS;480408319261.36774;5.928125;60.6625;0.7663897949053963;30.59680332055587;7.106212499999999;MeCN;7;1;ammoniumacetate;2;Orbitrap;ESI;PFDS;2.874316206248869;PFAS
