"";"Compound";"Filename";"Area";"RT";"Theoretical_amt";"SMILES";"IC";"Molecular_weight";"area_IC";"Theoretical_conc_uM";"slope_pred";"conc_pred";"Compound_homolog";"SMILES_homolog";"slope_homolog";"pattern";"conc_homolog"
"1";"11Cl-PF3OUdS";"2020071203-solvent_201208164403";10428;6,23;NA;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;1624587,64222989;NA;NA;NA;NA;NA;NA;NA;NA
"2";"11Cl-PF3OUdS";"2020071204-cal11";202182;6,22;0,012;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;31498118,4005873;1,89693628981393e-05;NA;NA;NA;NA;NA;NA;NA
"3";"11Cl-PF3OUdS";"2020071204-cal12";269159;6,21;0,012;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;41932526,3900035;1,89693628981393e-05;NA;NA;NA;NA;NA;NA;NA
"4";"11Cl-PF3OUdS";"2020071205-cal21";373044;6,21;0,041;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;58116865,4016119;6,48119899019758e-05;NA;NA;NA;NA;NA;NA;NA
"5";"11Cl-PF3OUdS";"2020071205-cal22";710010;6,21;0,041;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;110613106,238938;6,48119899019758e-05;NA;NA;NA;NA;NA;NA;NA
"6";"11Cl-PF3OUdS";"2020071206-cal31";816197;6,21;0,144;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;127156075,932596;0,000227632354777671;NA;NA;NA;NA;NA;NA;NA
"7";"11Cl-PF3OUdS";"2020071206-cal32";1343243;6,21;0,144;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;209265053,539683;0,000227632354777671;NA;NA;NA;NA;NA;NA;NA
"8";"11Cl-PF3OUdS";"2020071207-cal41";5037510;6,22;0,502;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;784798282,854768;0,000793551681238826;NA;NA;NA;NA;NA;NA;NA
"9";"11Cl-PF3OUdS";"2020071207-cal42";5892156;6,21;0,502;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;917944363,606706;0,000793551681238826;NA;NA;NA;NA;NA;NA;NA
"10";"11Cl-PF3OUdS";"2020071208-cal51";6671432;6,21;1,746;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;1039348483,23524;0,00276004230167926;NA;NA;NA;NA;NA;NA;NA
"11";"11Cl-PF3OUdS";"2020071208-cal52";9509490;6,21;1,746;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;1481492130,60115;0,00276004230167926;NA;NA;NA;NA;NA;NA;NA
"12";"11Cl-PF3OUdS";"2020071209-cal61";30054148;6,22;6,261;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;4682163160,58192;0,00989726509210416;NA;NA;NA;NA;NA;NA;NA
"13";"11Cl-PF3OUdS";"2020071209-cal62";36153200;6,21;6,261;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;5632340040,95376;0,00989726509210416;NA;NA;NA;NA;NA;NA;NA
"14";"11Cl-PF3OUdS";"2020071210-cal71";44346601;6,21;21,642;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;6908797464,47065;0,0342112459867942;NA;NA;NA;NA;NA;NA;NA
"15";"11Cl-PF3OUdS";"2020071210-cal72";108622373;6,22;21,642;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;16922378677,1659;0,0342112459867942;NA;NA;NA;NA;NA;NA;NA
"16";"11Cl-PF3OUdS";"2020071211-cal81";207332382;6,21;74,795;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;32300501115,3901;0,118234458163861;NA;NA;NA;NA;NA;NA;NA
