,11Cl-PF3OUdS,4_2 FTS,6_2 diPAP,6_2 mono PAP,6_2_8_2 diPAP,8_2 diPAP,8_2 FTS,9Cl-PF3ONS,d3- MeFOSA,d3-MeFOSAA,d5-EtFOSA,D5-EtFOSAA,EtFOSA,EtFOSAA,EtFOSE,FOSA,FOSAA,FPePA,FPrPA,M 6_2 monoPAP,M2 6_2 FTS,M2PFDA,M2PFDoDA,M2PFHxA,M2PFUnDA,M3HFPO-DA,M4 6_2_6_2 diPAP,M4 8_2_8_2 diPAP,M4PFHpA,M4PFOS,M5PFNA,M5PFPeA,M8FOSA,M8PFOA,M8PFOS,MeFOSA,MeFOSAA,MeFOSE,MPFHxA,MPFHxS,MPFOA,NaDONA,PFBS,PFDA,PFDoDA,PFDS,PFHpA,PFHpS,PFHpS-br,PFHxA,PFHxDA,PFHxS,PFHxS-br,PFNA,PFNS,PFNS-br,PFOA,PFOcDA,PFOS,PFOS-br,PFPeA,PFPeDA,PFPeS,PFTeDA,PFTriDA,PFUnDA,PFUnDS
2020071203-solvent_201208164403,0,0,0,0,0,7.360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020071204-cal11,-0.004,-0.004,-0.005,0,-0.004,0,-0.004,-0.003,1.000,1.000,1.000,1.000,-0.004,-0.003,-0.005,-0.004,-0.006,-0.002,0,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,-0.003,-0.004,0,0,1.000,1.000,-0.003,-0.004,-0.004,-0.003,-0.004,-0.003,0,0,-0.002,-0.002,-0.005,0,-0.003,0,0,-0.004,0,-0.001,-0.012,0,0,0,-0.003,-0.006,-0.006,0
2020071204-cal12,-0.004,-0.002,0.000,0,0.000,0,-0.002,-0.003,1.000,1.000,1.000,1.000,-0.004,-0.002,-0.001,-0.003,-0.004,0.000,0,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,-0.004,-0.004,0,0,1.000,1.000,-0.002,-0.005,-0.005,-0.006,-0.003,-0.003,-0.020,0,-0.003,-0.001,-0.004,0,-0.004,0,0,-0.004,0,-0.001,-0.012,0,0,0,-0.003,-0.005,-0.005,0
2020071205-cal21,0.017,0.010,0.014,0,0.012,0,0.007,0.018,1.000,1.000,1.000,1.000,0.018,0.016,0.014,0.018,0.022,0.018,0,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.020,0.018,0.011,0,1.000,1.000,0.022,0.021,0.021,0.020,0.016,0.019,0,0,0.015,0.013,0.019,0,0.020,0,0,0.019,0,0.010,-0.021,0.020,0,0,0.015,0.017,0.021,0
2020071205-cal22,0.020,0.022,0.022,0,0.021,0.025,0.019,0.019,1.000,1.000,1.000,1.000,0.021,0.018,0.023,0.020,0.021,0.020,0,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.017,0.020,0.023,0,1.000,1.000,0.018,0.017,0.019,0.020,0.019,0.019,0,0,0.017,0.019,0.019,0,0.019,0,0,0.021,0.011,0.012,-0.021,0.020,0,0,0.018,0.022,0.023,0
2020071206-cal31,0.042,0.037,0.045,0,0.039,0.017,0.031,0.042,1.000,1.000,1.000,1.000,0.044,0.041,0.038,0.045,0.049,0.037,0,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.045,0.043,0.050,0,1.000,1.000,0.045,0.044,0.048,0.047,0.040,0.042,0,0,0.043,0.033,0.047,0,0.044,0,0,0.046,0.016,0.037,-0.018,0.042,0,0,0.041,0.048,0.046,0
2020071206-cal32,0.045,0.049,0.052,0,0.042,0.036,0.048,0.044,1.000,1.000,1.000,1.000,0.046,0.044,0.048,0.045,0.051,0.038,0,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.044,0.044,0.047,0,1.000,1.000,0.040,0.039,0.045,0.050,0.043,0.042,0,0,0.042,0.041,0.046,0,0.045,0,0,0.047,0.032,0.040,-0.017,0.041,0,0,0.040,0.045,0.049,0
2020071207-cal41,0.211,0.206,0.196,0.170,0.178,0.190,0.214,0.182,1.000,1.000,1.000,1.000,0.197,0.179,0.159,0.193,0.213,0.148,0.137,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.193,0.192,0.173,0,1.000,1.000,0.177,0.186,0.204,0.197,0.199,0.179,0,0,0.178,0.179,0.204,0,0.195,0,0,0.185,0.107,0.176,-0.022,0.176,0,0,0.194,0.231,0.205,0
2020071207-cal42,0.208,0.234,0.201,0,0.185,0.186,0.251,0.197,1.000,1.000,1.000,1.000,0.195,0.193,0.194,0.200,0.215,0.142,0.135,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.191,0.197,0.185,0,1.000,1.000,0.160,0.166,0.203,0.209,0.203,0.180,0,0,0.178,0.172,0.200,0,0.195,0,0,0.185,0.126,0.175,-0.022,0.180,0,0,0.187,0.217,0.208,0
2020071208-cal51,0.363,0.326,0.347,0.348,0.315,0.356,0.311,0.330,1.000,1.000,1.000,1.000,0.353,0.330,0.333,0.353,0.403,0.265,0.270,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.346,0.355,0.353,0,1.000,1.000,0.319,0.320,0.360,0.371,0.345,0.322,0,0,0.325,0.342,0.358,0,0.345,0,0,0.343,0.199,0.321,-0.023,0.328,0,0,0.368,0.418,0.379,0
