Compound Filename Area RT Theoretical_amt SMILES IC Molecular_weight area_IC Theoretical_conc_uM logIE_predicted_LOO logIE_predicted logIE model_nr slope name slope_pred conc_pred_uM conc_pred_pg_uL Compound_homolog SMILES_homolog slope_homolog pattern conc_homolog_uM intercept_homolog conc_homolog_withIntercept_uM
11Cl-PF3OUdS 2020071203-solvent_201208164403 10428 6.23 NA O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 155.79091314057297 632.599 1624587.6422298949 NA 2.582031011581421 2.582031011581421 2.7508170386734125 model_1 522307507032.37994 11Cl-PF3OUdS 312976475862.1804 5.1907659761153555e-6 0.003283673365724598 9Cl-PF3ONS O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 391215958022.1548 smaller 4.152661998869416e-6 80353402.74659069 -2.012413182283897e-4
11Cl-PF3OUdS 2020071204-cal11 202182 6.22 0.012 O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 155.79091314057297 632.599 31498118.400587324 1.8969362898139264e-5 2.582031011581421 2.582031011581421 2.7508170386734125 model_1 522307507032.37994 11Cl-PF3OUdS 312976475862.1804 1.0064052997535048e-4 0.06366509862187675 9Cl-PF3ONS O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 391215958022.1548 smaller 8.051337823699811e-5 80353402.74659069 -1.24880601990261e-4
11Cl-PF3OUdS 2020071204-cal12 269159 6.21 0.012 O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 155.79091314057297 632.599 41932526.39000348 1.8969362898139264e-5 2.582031011581421 2.582031011581421 2.7508170386734125 model_1 522307507032.37994 11Cl-PF3OUdS 312976475862.1804 1.3397980239405764e-4 0.08475548901467847 9Cl-PF3ONS O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 391215958022.1548 smaller 1.071851122893837e-4 80353402.74659069 -9.820886793787541e-5
11Cl-PF3OUdS 2020071205-cal21 373044 6.21 0.041 O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 155.79091314057297 632.599 58116865.4016119 6.481198990197582e-5 2.582031011581421 2.582031011581421 2.7508170386734125 model_1 522307507032.37994 11Cl-PF3OUdS 312976475862.1804 1.8569084223187348e-4 0.11746784110504094 9Cl-PF3ONS O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 391215958022.1548 smaller 1.485544344750904e-4 80353402.74659069 -5.6839545752168727e-5
11Cl-PF3OUdS 2020071205-cal22 710010 6.21 0.041 O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 155.79091314057297 632.599 110613106.23893821 6.481198990197582e-5 2.582031011581421 2.582031011581421 2.7508170386734125 model_1 522307507032.37994 11Cl-PF3OUdS 312976475862.1804 3.5342306776962634e-4 0.22357507924799788 9Cl-PF3ONS O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 391215958022.1548 smaller 2.827418053142764e-4 80353402.74659069 7.734782508701728e-5
11Cl-PF3OUdS 2020071206-cal31 816197 6.21 0.144 O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 155.79091314057297 632.599 127156075.93259624 2.2763235477767113e-4 2.582031011581421 2.582031011581421 2.7508170386734125 model_1 522307507032.37994 11Cl-PF3OUdS 312976475862.1804 4.062799786543369e-4 0.25701230821675486 9Cl-PF3ONS O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 391215958022.1548 smaller 3.250278352024569e-4 80353402.74659069 1.1963385497519783e-4
11Cl-PF3OUdS 2020071206-cal32 1343243 6.21 0.144 O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 155.79091314057297 632.599 209265053.53968266 2.2763235477767113e-4 2.582031011581421 2.582031011581421 2.7508170386734125 model_1 522307507032.37994 11Cl-PF3OUdS 312976475862.1804 6.686286979339393e-4 0.42297384568431207 9Cl-PF3ONS O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 391215958022.1548 smaller 5.349092981729336e-4 80353402.74659069 3.2951531794567446e-4
11Cl-PF3OUdS 2020071207-cal41 5037510 6.22 0.502 O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 155.79091314057297 632.599 784798282.8547677 7.935516812388259e-4 2.582031011581421 2.582031011581421 2.7508170386734125 model_1 522307507032.37994 11Cl-PF3OUdS 312976475862.1804 0.0025075312152225606 1.5862617392185767 9Cl-PF3ONS O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 391215958022.1548 smaller 0.0020060487481707587 80353402.74659069 0.0018006547679434994
11Cl-PF3OUdS 2020071207-cal42 5892156 6.21 0.502 O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 155.79091314057297 632.599 917944363.6067059 7.935516812388259e-4 2.582031011581421 2.582031011581421 2.7508170386734125 model_1 522307507032.37994 11Cl-PF3OUdS 312976475862.1804 0.0029329500278830025 1.8553812546887596 9Cl-PF3ONS O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 391215958022.1548 smaller 0.002346387832049331 80353402.74659069 0.002140993851822072
11Cl-PF3OUdS 2020071208-cal51 6671432 6.21 1.746 O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 155.79091314057297 632.599 1039348483.235239 0.0027600423016792626 2.582031011581421 2.582031011581421 2.7508170386734125 model_1 522307507032.37994 11Cl-PF3OUdS 312976475862.1804 0.003320851768082779 2.100767507637398 9Cl-PF3ONS O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl 391215958022.1548 smaller 0.002656712902228748 80353402.74659069 0.002451318922001489
