"";"Compound";"Filename";"Area";"RT";"Theoretical_amt";"SMILES";"IC";"Molecular_weight";"area_IC";"Theoretical_conc_uM";"slope_pred";"conc_pred";"Compound_homolog";"SMILES_homolog";"slope_homolog";"pattern";"conc_homolog"
"1";"11Cl-PF3OUdS";"2020071203-solvent_201208164403";10428;6,23;NA;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;1624587,64222989;NA;275584882973,296;5,89505354830119e-06;"9Cl-PF3ONS";"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";274184446959,915;"smaller";5,92516337174809e-06
"2";"11Cl-PF3OUdS";"2020071204-cal11";202182;6,22;0,012;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;31498118,4005873;1,89693628981393e-05;275584882973,296;0,000114295523254951;"9Cl-PF3ONS";"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";274184446959,915;"smaller";0,000114879303876752
"3";"11Cl-PF3OUdS";"2020071204-cal12";269159;6,21;0,012;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;41932526,3900035;1,89693628981393e-05;275584882973,296;0,00015215829670188;"9Cl-PF3ONS";"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";274184446959,915;"smaller";0,000152935466817831
"4";"11Cl-PF3OUdS";"2020071205-cal21";373044;6,21;0,041;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;58116865,4016119;6,48119899019758e-05;275584882973,296;0,000210885534702001;"9Cl-PF3ONS";"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";274184446959,915;"smaller";0,000211962662528807
"5";"11Cl-PF3OUdS";"2020071205-cal22";710010;6,21;0,041;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;110613106,238938;6,48119899019758e-05;275584882973,296;0,00040137581221992;"9Cl-PF3ONS";"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";274184446959,915;"smaller";0,000403425896200121
"6";"11Cl-PF3OUdS";"2020071206-cal31";816197;6,21;0,144;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;127156075,932596;0,000227632354777671;275584882973,296;0,000461404394031721;"9Cl-PF3ONS";"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";274184446959,915;"smaller";0,000463761082521162
"7";"11Cl-PF3OUdS";"2020071206-cal32";1343243;6,21;0,144;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;209265053,539683;0,000227632354777671;275584882973,296;0,000759348812176902;"9Cl-PF3ONS";"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";274184446959,915;"smaller";0,000763227294107885
"8";"11Cl-PF3OUdS";"2020071207-cal41";5037510;6,22;0,502;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;784798282,854768;0,000793551681238826;275584882973,296;0,00284775519755492;"9Cl-PF3ONS";"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";274184446959,915;"smaller";0,0028623005117774
"9";"11Cl-PF3OUdS";"2020071207-cal42";5892156;6,21;0,502;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;917944363,606706;0,000793551681238826;275584882973,296;0,00333089519897815;"9Cl-PF3ONS";"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";274184446959,915;"smaller";0,00334790821939257
"10";"11Cl-PF3OUdS";"2020071208-cal51";6671432;6,21;1,746;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;1039348483,23524;0,00276004230167926;275584882973,296;0,00377142777942559;"9Cl-PF3ONS";"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";274184446959,915;"smaller";0,00379069088257654
"11";"11Cl-PF3OUdS";"2020071208-cal52";9509490;6,21;1,746;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;1481492130,60115;0,00276004230167926;275584882973,296;0,00537581058372024;"9Cl-PF3ONS";"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";274184446959,915;"smaller";0,0054032682999621
"12";"11Cl-PF3OUdS";"2020071209-cal61";30054148;6,22;6,261;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;4682163160,58192;0,00989726509210416;275584882973,296;0,0169899129083783;"9Cl-PF3ONS";"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";274184446959,915;"smaller";0,0170766913021381
"13";"11Cl-PF3OUdS";"2020071209-cal62";36153200;6,21;6,261;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;5632340040,95376;0,00989726509210416;275584882973,296;0,0204377685023439;"9Cl-PF3ONS";"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";274184446959,915;"smaller";0,0205421573083509
"14";"11Cl-PF3OUdS";"2020071210-cal71";44346601;6,21;21,642;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;6908797464,47065;0,0342112459867942;275584882973,296;0,0250695807038883;"9Cl-PF3ONS";"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";274184446959,915;"smaller";0,025197627148708
"15";"11Cl-PF3OUdS";"2020071210-cal72";108622373;6,22;21,642;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;16922378677,1659;0,0342112459867942;275584882973,296;0,0614053227252153;"9Cl-PF3ONS";"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";274184446959,915;"smaller";0,06171895913425
"16";"11Cl-PF3OUdS";"2020071211-cal81";207332382;6,21;74,795;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;32300501115,3901;0,118234458163861;275584882973,296;0,117207086132225;"9Cl-PF3ONS";"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";274184446959,915;"smaller";0,117805737975037
"17";"11Cl-PF3OUdS";"2020071211-cal82";296147019;6,21;74,795;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;46137014513,8686;0,118234458163861;275584882973,296;0,167414895969963;"9Cl-PF3ONS";"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";274184446959,915;"smaller";0,168269991334022
"18";"11Cl-PF3OUdS";"2020071212-solvent_201208105404";4337;6,2;NA;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;675665,190290665;NA;275584882973,296;2,45174983112603e-06;"9Cl-PF3ONS";"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";274184446959,915;"smaller";2,46427249168311e-06
"19";"11Cl-PF3OUdS";"2020071212-solvent_201208185514";35287;6,21;NA;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;5497393,9519914;NA;275584882973,296;1,99480969082186e-05;"9Cl-PF3ONS";"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";274184446959,915;"smaller";2,00499846469961e-05
"20";"11Cl-PF3OUdS";"cal7_201208072952";59464496;6,21;NA;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;9264028131,28395;NA;275584882973,296;0,0336158791851498;"9Cl-PF3ONS";"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";274184446959,915;"smaller";0,0337875770635463
"21";"11Cl-PF3OUdS";"cal7_201208103931";75802895;6,21;NA;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;11809402230,749;NA;275584882973,296;0,0428521408842781;"9Cl-PF3ONS";"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";274184446959,915;"smaller";0,0430710142814026
"22";"11Cl-PF3OUdS";"cal7_201208143247";90777263;6,22;NA;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;14142272695,1719;NA;275584882973,296;0,0513173021052187;"9Cl-PF3ONS";"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";274184446959,915;"smaller";0,0515794125158365
"23";"11Cl-PF3OUdS";"cal7_201208162928";105574658;6,22;NA;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;16447572374,3237;NA;275584882973,296;0,0596824187047933;"9Cl-PF3ONS";"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";274184446959,915;"smaller";0,0599872551367886
