Compound,Filename,Area,RT,Theoretical_amt,SMILES,IC,Molecular_weight,area_IC,Theoretical_conc_uM,logIE_predicted_LOO,logIE_predicted,logIE,model_nr,slope,name,slope_pred,conc_pred_uM,conc_pred_pg_uL
11Cl-PF3OUdS,QCN-AL,10462900,6.2,NA,O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,155.79091314057297,632.599,1630024745.098501,NA,2.582031011581421,2.582031011581421,2.7508170386734125,model_1,522307507032.37994,11Cl-PF3OUdS,312976475862.1804,0.005208138217443168,3.294663028216331
11Cl-PF3OUdS,QCN-BL,13494091,6.21,NA,O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,155.79091314057297,632.599,2102256758.8919873,NA,2.582031011581421,2.582031011581421,2.7508170386734125,model_1,522307507032.37994,11Cl-PF3OUdS,312976475862.1804,0.006716980096030344,4.2491548917687
11Cl-PF3OUdS,QCN-CL,11578562,6.21,NA,O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,155.79091314057297,632.599,1803834746.8347387,NA,2.582031011581421,2.582031011581421,2.7508170386734125,model_1,522307507032.37994,11Cl-PF3OUdS,312976475862.1804,0.005763483475445163,3.645973883083135
4:2 FTS,QCN-AL,3500746,2.45,NA,O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,112.9497421784555,328.153,395408358.13225937,NA,1.7706854343414307,1.7706854343414309,1.6449769933382423,model_2,40875746693.093475,4:2 FTS,53283510777.02384,0.007420839061955387,2.4351706006978464
4:2 FTS,QCN-BL,4754028,2.46,NA,O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,112.9497421784555,328.153,536966236.9091585,NA,1.7706854343414307,1.7706854343414309,1.6449769933382423,model_2,40875746693.093475,4:2 FTS,53283510777.02384,0.010077531098808554,3.306972062667324
4:2 FTS,QCN-CL,4592295,2.47,NA,O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,112.9497421784555,328.153,518698536.2574103,NA,1.7706854343414307,1.7706854343414309,1.6449769933382423,model_2,40875746693.093475,4:2 FTS,53283510777.02384,0.009734691440059466,3.194468200129834
6:2 diPAP,QCN-AL,6233934,6.23,NA,O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,119.92905264569504,790.173,747629798.8757882,NA,2.3978800773620605,2.3978800773620605,1.9968955377169055,model_3,92020375332.34262,6:2 diPAP,254451497404.08954,0.002938201608177183,2.3216875793381893
6:2 diPAP,QCN-BL,8684023,6.22,NA,O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,119.92905264569504,790.173,1041466651.5434265,NA,2.3978800773620605,2.3978800773620605,1.9968955377169055,model_3,92020375332.34262,6:2 diPAP,254451497404.08954,0.004092986923513731,3.234167756313615
6:2 diPAP,QCN-CL,6902769,6.21,NA,O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,119.92905264569504,790.173,827842546.8020717,NA,2.3978800773620605,2.3978800773620605,1.9968955377169055,model_3,92020375332.34262,6:2 diPAP,254451497404.08954,0.0032534394776517696,2.5707800323745316
6:2 FTS,QCN-AL,8083542,3.81,NA,O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,115.36174430246278,428.168,932531505.2622186,NA,2.105889081954956,2.105889081954956,1.674937386839224,model_4,43678529221.50838,6:2 FTS,116484063487.7606,0.008005657403600134,3.427766319184662
6:2 FTS,QCN-BL,10459717,3.81,NA,O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,115.36174430246278,428.168,1206651198.030123,NA,2.105889081954956,2.105889081954956,1.674937386839224,model_4,43678529221.50838,6:2 FTS,116484063487.7606,0.010358938054705741,4.435365789007248
6:2 FTS,QCN-CL,8447205,3.81,NA,O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,115.36174430246278,428.168,974484303.2804852,NA,2.105889081954956,2.105889081954956,1.674937386839224,model_4,43678529221.50838,6:2 FTS,116484063487.7606,0.008365816525475845,3.5819749300799417
6:2/8:2 diPAP,QCN-AL,3924954,6.89,NA,O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,122.59925548644893,890.188,481196438.2185597,NA,1.6925981044769287,1.6925981044769287,1.9099174265639989,model_5,75357736659.71585,6:2/8:2 diPAP,45333690186.70367,0.01061454375844511,9.448939479242735
6:2/8:2 diPAP,QCN-BL,5645233,6.88,NA,O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,122.59925548644893,890.188,692101362.8475325,NA,1.6925981044769287,1.6925981044769287,1.9099174265639989,model_5,75357736659.71585,6:2/8:2 diPAP,45333690186.70367,0.015266821650678799,13.590341431574458
