Compound,Filename,Area,RT,Theoretical_amt,SMILES,IC,Molecular_weight,area_IC,Theoretical_conc_uM,logIE_predicted_LOO,logIE_predicted,logIE,model_nr,slope,name,slope_pred,conc_pred_uM,conc_pred_pg_uL
11Cl-PF3OUdS,QCN-AL,10462900,6.2,NA,O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,155.7909131,632.599,1630024745,NA,2.582031012,2.582031012,2.750817039,model_1,5.22308E+11,11Cl-PF3OUdS,3.12976E+11,0.005208138,3.294663028
11Cl-PF3OUdS,QCN-BL,13494091,6.21,NA,O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,155.7909131,632.599,2102256759,NA,2.582031012,2.582031012,2.750817039,model_1,5.22308E+11,11Cl-PF3OUdS,3.12976E+11,0.00671698,4.249154892
11Cl-PF3OUdS,QCN-CL,11578562,6.21,NA,O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,155.7909131,632.599,1803834747,NA,2.582031012,2.582031012,2.750817039,model_1,5.22308E+11,11Cl-PF3OUdS,3.12976E+11,0.005763483,3.645973883
4:2 FTSA,QCN-AL,3500746,2.45,NA,O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,112.9497422,328.153,395408358.1,NA,1.770685434,1.770685434,1.644976993,model_2,40875746693,4:2 FTS,53283510777,0.007420839,2.435170601
4:2 FTSA,QCN-BL,4754028,2.46,NA,O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,112.9497422,328.153,536966236.9,NA,1.770685434,1.770685434,1.644976993,model_2,40875746693,4:2 FTS,53283510777,0.010077531,3.306972063
4:2 FTSA,QCN-CL,4592295,2.47,NA,O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,112.9497422,328.153,518698536.3,NA,1.770685434,1.770685434,1.644976993,model_2,40875746693,4:2 FTS,53283510777,0.009734691,3.1944682
6:2 diPAP,QCN-AL,6233934,6.23,NA,O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,119.9290526,790.173,747629798.9,NA,2.397880077,2.397880077,1.996895538,model_3,92020375332,6:2 diPAP,2.54451E+11,0.002938202,2.321687579
6:2 diPAP,QCN-BL,8684023,6.22,NA,O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,119.9290526,790.173,1041466652,NA,2.397880077,2.397880077,1.996895538,model_3,92020375332,6:2 diPAP,2.54451E+11,0.004092987,3.234167756
6:2 diPAP,QCN-CL,6902769,6.21,NA,O[P](=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,119.9290526,790.173,827842546.8,NA,2.397880077,2.397880077,1.996895538,model_3,92020375332,6:2 diPAP,2.54451E+11,0.003253439,2.570780032
6:2 FTSA,QCN-AL,8083542,3.81,NA,O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,115.3617443,428.168,932531505.3,NA,2.105889082,2.105889082,1.674937387,model_4,43678529222,6:2 FTS,1.16484E+11,0.008005657,3.427766319
